audit_id,result_id,approval_status
327,1470157558590515407,Validated
328,1470002575933357079,Validated
329,1469997855002522129,Validated
330,1470002575927811270,Validated
331,1470002575936694514,Validated
332,1470002575944817621,Validated
333,1470002575940145406,Validated
334,1470157558591900835,Validated
335,1470157558588213778,
336,1470157558590416000,Validated
337,1470002575941038800,Validated
338,1470002575948644236,Validated
339,1470002575944790854,Validated
340,1470002575940109773,Validated
341,1470002575943383640,Validated
342,1470002575933856735,Validated
343,1470002575944300646,Validated
344,1470002575941509143,Validated
345,1469918505931501983,Rejected
346,1470002575943373057,Validated
