fertilizer_input_id,result_id,result_id_parent,fertilizer_input_uid,entity_system_id,fertilizer_type,n_ammonium,n_nitrate,n_urea,n_total,p_content,uom_p,k_content,uom_k,total_ingredients,application_rate,uom_application_rate,fertilizer_unit,application_method,manufactured_in,fa_name,country,business_name,date_created,date_synched,data_versioning,last_modified_by,last_updated,entity_id
355,1470002575945012058,1470002575937850004,tOoqVEdhSyA,GL-LA-GAO-PLK-0893,Cattle manure - 0.6% N,,,,,,,,,,400.0,kg / ha,product,Broadcast,,MAI NGUYEN,Vietnam,Nescafe,2024-07-17 09:23:07,2024-10-21 07:53:48,1.0,MAI NGUYEN,2024-11-29 06:28:41,254
356,1470002575945034077,1470002575937903225,Sj8Ft27OapB,GL-T4-GAO-PLK-3888,Compose your own NPK,0.0,0.0,0.0,0.0,15.0,p2o5,0.0,K2O,15.0,1000.0,kg / ha,product,Broadcast,SE Asia 2014,MAI NGUYEN,Vietnam,Nescafe,2024-07-17 09:59:51,2024-07-17 09:59:51,,MAI NGUYEN,2024-11-29 06:18:24,76
357,1470002575945034679,1470002575937903225,uozvXxaUSaU,GL-T4-GAO-PLK-3888,Compose your own NPK,0.0,20.0,0.0,20.0,5.0,p2o5,6.0,K2O,31.0,500.0,kg / ha,product,Apply in solution,SE Asia 2014,MAI NGUYEN,Vietnam,Nescafe,2024-07-17 10:01:14,2024-07-17 10:01:14,,MAI NGUYEN,2024-11-29 06:18:24,76
358,1470002575945036170,1470002575937903225,Q8tmPzxdcPQ,GL-T4-GAO-PLK-3888,Compose your own NPK,0.0,16.0,0.0,16.0,16.0,p2o5,8.0,K2O,40.0,600.0,kg / ha,product,Broadcast,SE Asia 2014,MAI NGUYEN,Vietnam,Nescafe,2024-07-17 10:08:00,2024-07-17 10:08:00,,MAI NGUYEN,2024-11-29 06:18:24,76
359,1470002575945043168,1470002575937903225,uhbfsn5xEWm,GL-T4-GAO-PLK-3888,Compose your own NPK,0.0,16.0,0.0,16.0,8.0,p2o5,16.0,K2O,40.0,600.0,kg / ha,product,Broadcast,SE Asia 2014,MAI NGUYEN,Vietnam,Nescafe,2024-07-17 10:11:31,2024-07-17 10:11:31,,MAI NGUYEN,2024-11-29 06:18:24,76
360,1470002575942148651,1470002575937914371,Uzcwa5dR3tO,10004-75-6-GL-NH1-TH-CPR-1632,Cattle manure - 0.6% N,,,,,,,,,,2666.0,kg / ha,product,Broadcast,,MAI NGUYEN,Vietnam,Nescafe,2024-07-15 09:56:20,2024-11-13 07:02:54,2.0,MAI NGUYEN,2024-11-29 06:28:25,138
361,1470002575942148506,1470002575937914371,OaIF3M0PWuQ,10004-75-6-GL-NH1-TH-CPR-1632,Compose your own NPK,0.0,16.0,0.0,16.0,16.0,p2o5,8.0,K2O,40.0,625.0,kg / ha,product,Broadcast,SE Asia 2014,MAI NGUYEN,Vietnam,Nescafe,2024-07-15 09:56:13,2024-11-13 07:02:53,2.0,MAI NGUYEN,2024-11-29 06:28:25,138
362,1470002575942148278,1470002575937914371,vVQ6WJznP9g,10004-75-6-GL-NH1-TH-CPR-1632,Compose your own NPK,0.0,16.0,0.0,16.0,16.0,p2o5,8.0,K2O,40.0,583.0,kg / ha,product,Apply in solution,SE Asia 2014,MAI NGUYEN,Vietnam,Nescafe,2024-07-15 09:56:04,2024-11-13 07:02:53,2.0,MAI NGUYEN,2024-11-29 06:28:25,138
363,1470002575945103454,1470002575944949508,WivZ8mGBeq4,GL-T4-TRD-PLK-4014,Compose your own NPK,0.0,16.0,0.0,16.0,16.0,p2o5,8.0,K2O,40.0,363.0,kg / ha,product,Apply in solution,SE Asia 2014,TOAN LE,Vietnam,Nescafe,2024-07-17 11:33:31,2024-07-17 11:33:31,,TOAN LE,2024-11-29 06:12:50,111
364,1470002575945103226,1470002575944949508,fNJ8Ucg6IiO,GL-T4-TRD-PLK-4014,Compose your own NPK,0.0,16.0,0.0,16.0,16.0,p2o5,8.0,K2O,40.0,363.0,kg / ha,product,Apply in solution,SE Asia 2014,TOAN LE,Vietnam,Nescafe,2024-07-17 11:33:31,2024-07-17 11:33:31,,TOAN LE,2024-11-29 06:12:50,111
365,1470002575945102998,1470002575944949508,fNBNqidzI5i,GL-T4-TRD-PLK-4014,Compose your own NPK,0.0,20.0,0.0,20.0,5.0,p2o5,5.0,K2O,30.0,363.0,kg / ha,product,Apply in solution,SE Asia 2014,TOAN LE,Vietnam,Nescafe,2024-07-17 11:33:31,2024-07-17 11:33:31,,TOAN LE,2024-11-29 06:12:50,111
