fertilizer_input_id,result_id,result_id_parent,fertilizer_input_uid,entity_system_id,fertilizer_type,n_ammonium,n_nitrate,n_urea,n_total,p_content,uom_p,k_content,uom_k,total_ingredients,application_rate,uom_application_rate,fertilizer_unit,application_method,manufactured_in,fa_name,country,business_name,date_created,date_synched,data_versioning,last_modified_by,last_updated,entity_id
366,1470002575945102770,1470002575944949508,ZZVzavBlHeB,GL-T4-TRD-PLK-4014,Compose your own NPK,0.0,24.0,0.0,24.0,8.0,p2o5,7.0,K2O,39.0,318.0,kg / ha,product,Apply in solution,SE Asia 2014,TOAN LE,Vietnam,Nescafe,2024-07-17 11:33:30,2024-07-17 11:33:30,,TOAN LE,2024-11-29 06:12:50,111
367,1470002575945102542,1470002575944949508,PqVeZEQNSFq,GL-T4-TRD-PLK-4014,Cattle manure - 0.6% N,,,,,,,,,,12727.0,kg / ha,product,Apply in solution,,TOAN LE,Vietnam,Nescafe,2024-07-17 11:33:30,2024-07-17 11:33:30,,TOAN LE,2024-11-29 06:12:50,111
368,1470157558588338179,1470157558588337953,wi8awE6Mhha,CA0322011,Cattle digestate - 0.26% N,,,,,,,,,,400.0,kg / ha,product,Incorporate,,MINH ANH LE,Vietnam,Nescafe,2024-11-16 13:31:21,2024-11-16 13:31:21,,MINH ANH LE,2024-11-16 13:31:21,14
369,1470157558608836511,1470157558588969665,JzMOHAohFUT,DL0222084,Cattle manure - 0.6% N,,,,,,,,,,8333.0,kg / ha,product,Broadcast,,MINH ANH LE,Vietnam,Nescafe,2024-12-02 06:58:16,2024-12-03 02:52:34,1.0,MINH ANH LE,2025-01-09 08:38:50,281
370,1470002575942288163,1470002575940073665,ikdpTMYE2Uc,L-10004-75-10-0617-1044,Compost (zero emissions) - 1% N,,,,,,,,,,1200.0,kg / ha,product,Apply in solution,,QUYNH TRAN,Vietnam,Nescafe,2024-07-15 14:17:45,2024-11-26 08:38:17,1.0,QUYNH TRAN,2024-11-29 06:15:42,44
371,1470002575942287864,1470002575940073665,lCQ3ez2WekB,L-10004-75-10-0617-1044,Compose your own NPK,0.0,16.0,0.0,16.0,16.0,p2o5,8.0,K2O,40.0,1500.0,kg / ha,product,Broadcast,SE Asia 2014,QUYNH TRAN,Vietnam,Nescafe,2024-07-15 14:17:45,2024-11-26 04:13:57,1.0,QUYNH TRAN,2024-11-29 06:15:42,44
372,1470002575942287636,1470002575940073665,vNvK0aeP90U,L-10004-75-10-0617-1044,Compose your own NPK,0.0,0.0,0.0,0.0,0.0,p2o5,60.0,K2O,60.0,200.0,kg / ha,product,Broadcast,SE Asia 2014,QUYNH TRAN,Vietnam,Nescafe,2024-07-15 14:17:44,2024-11-26 04:13:34,1.0,QUYNH TRAN,2024-11-29 06:15:42,44
373,1470002575942287180,1470002575940073665,pE42C0nbGrf,L-10004-75-10-0617-1044,Compose your own NPK,0.0,20.0,0.0,20.0,5.0,p2o5,5.0,K2O,30.0,1000.0,kg / ha,product,Apply in solution,SE Asia 2014,QUYNH TRAN,Vietnam,Nescafe,2024-07-15 14:17:44,2024-11-26 04:13:25,1.0,QUYNH TRAN,2024-11-29 06:15:42,44
374,1470002575934852459,1470002575934524522,aOP2L4Fh2HL,L-10004-75-10-0617-2603,Compose your own NPK,0.0,16.0,0.0,16.0,16.0,p2o5,8.0,K2O,40.0,300.0,kg / ha,product,Broadcast,SE Asia 2014,QUYNH TRAN,Vietnam,Nescafe,2024-07-08 07:16:00,2024-10-18 03:05:48,1.0,QUYNH TRAN,2024-11-29 06:21:00,243
375,1470002575934852971,1470002575934524522,OokGvaXXWoz,L-10004-75-10-0617-2603,Compose your own NPK,0.0,0.0,0.0,0.0,0.0,p2o5,60.0,K2O,60.0,100.0,kg / ha,product,Broadcast,SE Asia 2014,QUYNH TRAN,Vietnam,Nescafe,2024-07-08 07:16:07,2024-11-26 09:25:54,1.0,QUYNH TRAN,2024-11-29 06:21:00,243
376,1470002575936999863,1470002575936500329,SEtNbl7rMdM,L-10004-75-10-0617-1725,Compose your own NPK,0.0,16.0,0.0,16.0,8.0,p2o5,16.0,K2O,40.0,267.0,kg / ha,product,Broadcast,SE Asia 2014,QUYNH TRAN,Vietnam,Nescafe,2024-07-09 16:27:31,2024-07-09 16:27:31,,QUYNH TRAN,2024-11-29 06:31:47,244
377,1470002575933490169,1470002575933219342,azYWORSVYrR,L-10004-75-10-0617-2510,Compost (zero emissions) - 1% N,,,,,,,,,,4800.0,kg / ha,product,Broadcast,,QUYNH TRAN,Vietnam,Nescafe,2024-07-06 12:14:06,2024-10-18 07:25:16,1.0,QUYNH TRAN,2024-11-29 06:19:00,29
378,1470002575933489568,1470002575933219342,QB5OXPhVvAv,L-10004-75-10-0617-2510,Compose your own NPK,0.0,16.0,0.0,16.0,16.0,p2o5,8.0,K2O,40.0,400.0,kg / ha,product,Broadcast,Russia (CIS countries) 2014,QUYNH TRAN,Vietnam,Nescafe,2024-07-06 12:14:05,2024-10-21 17:02:28,1.0,QUYNH TRAN,2024-11-29 06:19:00,29
379,1470002575940237619,1470002575931982220,yDB7lmDxaGO,L-10004-75-10-0617-2828,Cattle manure - 0.6% N,,,,,,,,,,3000.0,kg / ha,product,Broadcast,,QUYNH TRAN,Vietnam,Nescafe,2024-07-12 07:52:19,2024-10-18 07:28:51,1.0,QUYNH TRAN,2024-11-29 06:20:11,164
380,1470002575940237095,1470002575931982220,dnhwQOx0lgT,L-10004-75-10-0617-2828,Compose your own NPK,0.0,0.0,0.0,0.0,16.0,p2o5,0.0,K2O,16.0,750.0,kg / ha,product,Apply in solution,SE Asia 2014,QUYNH TRAN,Vietnam,Nescafe,2024-07-12 07:52:18,2024-10-18 07:28:50,1.0,QUYNH TRAN,2024-11-29 06:20:11,164
