entity_id,year_of_reporting,irrigates_coffee,knows_water_usage,wet_processing_at_farm,monitors_irrigation_usage,monitors_wet_processing_usage,water_use_irrigation_m3_per_ha,water_use_wet_processing_m3_per_kg,adequate_wastewater_treatment,has_water_bodies,distance_to_water_body,riparian_buffer_vegetation,irrigation_source,irrigation_rounds_per_year,irrigation_water_per_round_m3_per_ha
1470157558564695309,2024,True,Yes,False,No,Not applicable,1260.0,No wet processing,Not applicable,True,>10 m,No,"Surface water (river, lake, pond, etc.)",4-Mar,420.0
1470157558564695295,2024,True,Yes,False,No,Not applicable,1694.0,No wet processing,Not applicable,False,,,Groundwater well,4-Mar,565.0
1470157558564694946,2024,True,Yes,False,No,Not applicable,684.0,No wet processing,Not applicable,False,,,Groundwater well,4-Mar,228.0
1470157558564695057,2024,True,Yes,False,No,Not applicable,446.4,No wet processing,Not applicable,False,,,Groundwater well,2-Jan,223.2
1470157558564694699,2024,True,Yes,False,No,Not applicable,1600.0,No wet processing,Not applicable,False,,,"Surface water (river, lake, pond, etc.)",4-Mar,400.0
1470157558564694968,2024,True,Yes,False,No,Not applicable,821.0,No wet processing,Not applicable,True,1-5 m,Partially,"Surface water (river, lake, pond, etc.)",4-Mar,274.0
1470157558564694704,2024,True,Yes,False,Yes,Not applicable,750.0,No wet processing,Not applicable,False,,,"Surface water (river, lake, pond, etc.)",4-Mar,250.0
1470157558564695065,2024,True,Yes,False,Yes,Not applicable,1700.0,No wet processing,Not applicable,True,6-10 m,No,"Surface water (river, lake, pond, etc.)",4-Mar,425.0
1470157558564694989,2024,True,Yes,False,No,Not applicable,720.0,No wet processing,Not applicable,True,1-5 m,Yes,"Surface water (river, lake, pond, etc.)",2-Jan,360.0
1470157558564695215,2024,True,Yes,False,No,Not applicable,360.0,No wet processing,Not applicable,True,>10 m,Yes,"Surface water (river, lake, pond, etc.)",4-Mar,120.0
1470157558564694714,2024,True,Yes,False,Yes,Not applicable,1067.0,No wet processing,Not applicable,False,,,"Surface water (river, lake, pond, etc.)",2-Jan,533.0
1470157558564694722,2024,True,Yes,False,Yes,Not applicable,350.0,No wet processing,Not applicable,False,,,"Surface water (river, lake, pond, etc.)",2-Jan,175.0
1470157558564694903,2024,True,Yes,False,No,Not applicable,1275.0,No wet processing,Not applicable,True,1-5 m,Partially,"Surface water (river, lake, pond, etc.)",4-Mar,424.8
1470157558564694972,2024,True,Yes,False,No,Not applicable,400.0,No wet processing,Not applicable,True,>10 m,Yes,"Surface water (river, lake, pond, etc.)",2-Jan,400.0
1470157558564694797,2024,True,Yes,False,No,Not applicable,644.0,No wet processing,Not applicable,False,,,"Surface water (river, lake, pond, etc.)",2-Jan,322.0
1470157558564695074,2024,True,Yes,False,No,Not applicable,224.5,No wet processing,Not applicable,True,>10 m,Yes,"Surface water (river, lake, pond, etc.)",2-Jan,224.5
1470157558564694799,2024,True,Yes,False,Yes,Not applicable,640.0,No wet processing,Not applicable,False,,,"Surface water (river, lake, pond, etc.)",2-Jan,320.0
1470157558564695163,2024,True,Yes,False,No,Not applicable,1165.0,No wet processing,Not applicable,True,1-5 m,Yes,"Surface water (river, lake, pond, etc.)",4-Mar,291.0
1470157558564695952,2024,True,Yes,False,No,Not applicable,563.0,No wet processing,Not applicable,False,,,"Surface water (river, lake, pond, etc.)",4-Mar,188.0
1470157558564695873,2024,True,Yes,False,No,Not applicable,345.0,No wet processing,Not applicable,True,>10 m,Yes,"Surface water (river, lake, pond, etc.)",4-Mar,115.0
1470157558564695063,2024,False,Not applicable,False,Not applicable,Not applicable,0.0,No wet processing,Not applicable,False,,,0,0,0.0
1470157558564695879,2024,True,Yes,False,No,Not applicable,1577.0,No wet processing,Not applicable,True,>10 m,Yes,"Surface water (river, lake, pond, etc.)",4-Mar,526.0
1470157558564696002,2024,True,Yes,False,Yes,Not applicable,1386.0,No wet processing,Not applicable,False,,,"Surface water (river, lake, pond, etc.)",4-Mar,462.0
1470157558564695991,2024,True,Yes,False,Yes,Not applicable,870.0,No wet processing,Not applicable,False,,,"Surface water (river, lake, pond, etc.)",2-Jan,435.0
1470157558564695965,2024,True,Yes,False,No,Not applicable,926.3,No wet processing,Not applicable,True,1-5 m,Yes,"Surface water (river, lake, pond, etc.)",2-Jan,463.1
1470157558564695118,2024,True,Yes,False,No,Not applicable,1039.6,No wet processing,Not applicable,False,,,Groundwater well,4-Mar,346.5
1470157558564694820,2024,True,Yes,False,Yes,Not applicable,1200.0,No wet processing,Not applicable,False,,,"Surface water (river, lake, pond, etc.)",4-Mar,400.0
1470157558564695191,2024,True,Yes,False,No,Not applicable,1333.0,No wet processing,Not applicable,True,1-5 m,Yes,"Surface water (river, lake, pond, etc.)",4-Mar,333.0
1470157558564695739,2024,True,Yes,False,No,Not applicable,987.0,No wet processing,Not applicable,True,>10 m,Yes,"Surface water (river, lake, pond, etc.)",4-Mar,247.0
1470157558564695307,2024,True,Yes,False,Yes,Not applicable,400.0,No wet processing,Not applicable,False,,,Groundwater well,4-Mar,100.0
1470157558564695573,2024,True,Yes,False,No,Not applicable,2400.0,No wet processing,Not applicable,False,,,Groundwater well,4-Mar,600.0
1470157558564695554,2024,True,Yes,False,No,Not applicable,1053.0,No wet processing,Not applicable,True,0 m,No,"Surface water (river, lake, pond, etc.)",4-Mar,263.0
1470157558564695390,2024,True,Yes,False,No,Not applicable,800.0,No wet processing,Not applicable,False,,,Groundwater well,2-Jan,400.0
1470157558564695569,2024,True,Yes,False,No,Not applicable,1650.0,No wet processing,Not applicable,True,>10 m,Partially,"Surface water (river, lake, pond, etc.)",4-Mar,550.0
1470157558564695558,2024,True,Yes,False,No,Not applicable,635.0,No wet processing,Not applicable,True,1-5 m,Yes,"Surface water (river, lake, pond, etc.)",4-Mar,159.0
1470157558564695628,2024,True,Yes,False,No,Not applicable,1657.0,No wet processing,Not applicable,False,,,Groundwater well,4-Mar,414.0
1470157558564695562,2024,True,Yes,False,No,Not applicable,3209.7,No wet processing,Not applicable,False,,,Groundwater well,8-Jul,401.0
1470157558564695658,2024,True,Yes,False,Yes,Not applicable,2000.0,No wet processing,Not applicable,False,,,Groundwater well,6-May,400.0
1470157558564695386,2024,True,Yes,False,No,Not applicable,784.0,No wet processing,Not applicable,True,0 m,No,Groundwater well,4-Mar,196.0
1470157558564695504,2024,True,Yes,False,Yes,Not applicable,1556.0,No wet processing,Not applicable,True,0 m,Yes,"Surface water (river, lake, pond, etc.)",4-Mar,389.0
1470157558564695096,2024,True,Yes,False,No,Not applicable,1694.0,No wet processing,Not applicable,True,1-5 m,Yes,"Surface water (river, lake, pond, etc.)",4-Mar,423.2
1469278379854639342,2024,True,Yes,False,Yes,Not applicable,750.0,No wet processing,Not applicable,False,,,Groundwater well,4-Mar,250.0
1469278379854638502,2024,True,Yes,False,Yes,Not applicable,500.0,No wet processing,Not applicable,True,>10 m,Yes,"Surface water (river, lake, pond, etc.)",2-Jan,500.0
1469278379854638316,2024,True,Yes,False,Yes,Not applicable,1320.0,No wet processing,Not applicable,True,>10 m,Yes,"Surface water (river, lake, pond, etc.)",4-Mar,440.0
1469883818362504539,2024,False,Not applicable,False,Not applicable,Not applicable,,No wet processing,Not applicable,False,,,Unknown,0,
