base_column,original_column,kept
Unsold coffee (in the storage) - Coffee volume amount of husk coffee (Volume unit) - 2,Unsold coffee (in the storage) - Coffee volume amount of husk coffee (Volume unit) - 2,True
Unsold coffee (in the storage) - Price of husk coffee (Currency/Volume unit) - 2,Unsold coffee (in the storage) - Price of husk coffee (Currency/Volume unit) - 2,True
Unsold coffee (in the storage) - Notes (i.e. the reason why the coffee yield is very low or very high) - 2,Unsold coffee (in the storage) - Notes (i.e. the reason why the coffee yield is very low or very high) - 2,True
Species - 3,Species - 3,True
Unsold coffee (in the storage) - Coffee volume amount of green coffee bean - 3,Unsold coffee (in the storage) - Coffee volume amount of green coffee bean - 3,True
Unsold coffee (in the storage) - Price of green coffee bean (Currency/Volume unit) - 3,Unsold coffee (in the storage) - Price of green coffee bean (Currency/Volume unit) - 3,True
Unsold coffee (in the storage) - Coffee volume amount of fresh cherry - 3,Unsold coffee (in the storage) - Coffee volume amount of fresh cherry - 3,True
Unsold coffee (in the storage) - Price of fresh cherry (Currency/Volume unit) - 3,Unsold coffee (in the storage) - Price of fresh cherry (Currency/Volume unit) - 3,True
Unsold coffee (in the storage)  - Coffee volume amount of dry cherry (Volume unit) - 3,Unsold coffee (in the storage)  - Coffee volume amount of dry cherry (Volume unit) - 3,True
Unsold coffee (in the storage)  - Price of dry cherry (Currency/Volume unit) - 3,Unsold coffee (in the storage)  - Price of dry cherry (Currency/Volume unit) - 3,True
Unsold coffee (in the storage)  - Coffee volume amount of wet parchment (Volume unit) - 3,Unsold coffee (in the storage)  - Coffee volume amount of wet parchment (Volume unit) - 3,True
Unsold coffee (in the storage)  - Price of wet parchment (Currency/Volume unit) - 3,Unsold coffee (in the storage)  - Price of wet parchment (Currency/Volume unit) - 3,True
Unsold coffee (in the storage)  - Coffee volume amount of dry parchment (Volume unit) - 3,Unsold coffee (in the storage)  - Coffee volume amount of dry parchment (Volume unit) - 3,True
Unsold coffee (in the storage)  - Price of dry parchment (Currency/Volume unit) - 3,Unsold coffee (in the storage)  - Price of dry parchment (Currency/Volume unit) - 3,True
Unsold coffee (in the storage) - Coffee volume amount of husk coffee (Volume unit) - 3,Unsold coffee (in the storage) - Coffee volume amount of husk coffee (Volume unit) - 3,True
Unsold coffee (in the storage) - Price of husk coffee (Currency/Volume unit) - 3,Unsold coffee (in the storage) - Price of husk coffee (Currency/Volume unit) - 3,True
Unsold coffee (in the storage) - Notes (i.e. the reason why the coffee yield is very low or very high) - 3,Unsold coffee (in the storage) - Notes (i.e. the reason why the coffee yield is very low or very high) - 3,True
Unharvested,Unharvested,True
Unharvested - Coffee volume amount of green coffee bean,Unharvested - Coffee volume amount of green coffee bean,True
Unharvested - Price of green coffee bean (Currency/Volume unit),Unharvested - Price of green coffee bean (Currency/Volume unit),True
Unharvested - Coffee volume amount of fresh cherry,Unharvested - Coffee volume amount of fresh cherry,True
Unharvested - Price of fresh cherry (Currency/Volume unit),Unharvested - Price of fresh cherry (Currency/Volume unit),True
Unharvested - Coffee volume amount of dry cherry (Volume unit),Unharvested - Coffee volume amount of dry cherry (Volume unit),True
Unharvested - Price of dry cherry (Currency/Volume unit),Unharvested - Price of dry cherry (Currency/Volume unit),True
Unharvested - Coffee volume amount of wet parchment (Volume unit),Unharvested - Coffee volume amount of wet parchment (Volume unit),True
Unharvested - Price of wet parchment (Currency/Volume unit),Unharvested - Price of wet parchment (Currency/Volume unit),True
Unharvested - Coffee volume amount of dry parchment (Volume unit),Unharvested - Coffee volume amount of dry parchment (Volume unit),True
Unharvested - Price of dry parchment (Currency/Volume unit),Unharvested - Price of dry parchment (Currency/Volume unit),True
Unharvested - Coffee volume amount of husk coffee (Volume unit),Unharvested - Coffee volume amount of husk coffee (Volume unit),True
Unharvested - Price of husk coffee (Currency/Volume unit),Unharvested - Price of husk coffee (Currency/Volume unit),True
Unharvested - Notes (i.e. the reason why the coffee yield is very low or very high),Unharvested - Notes (i.e. the reason why the coffee yield is very low or very high),True
Unharvested - The reason why the farmer didnt harvest all coffee cherries,Unharvested - The reason why the farmer didnt harvest all coffee cherries,True
Harvest sharing,Harvest sharing,True
Harvest sharing - Coffee volume amount of green coffee bean,Harvest sharing - Coffee volume amount of green coffee bean,True
Harvest sharing - Price of green coffee bean (Currency/Volume unit),Harvest sharing - Price of green coffee bean (Currency/Volume unit),True
Harvest sharing - Coffee volume amount of fresh cherry,Harvest sharing - Coffee volume amount of fresh cherry,True
Harvest sharing - Price of fresh cherry (Currency/Volume unit),Harvest sharing - Price of fresh cherry (Currency/Volume unit),True
Harvest sharing - Coffee volume amount of dry cherry (Volume unit),Harvest sharing - Coffee volume amount of dry cherry (Volume unit),True
Harvest sharing - Price of dry cherry (Currency/Volume unit),Harvest sharing - Price of dry cherry (Currency/Volume unit),True
Harvest sharing - Coffee volume amount of wet parchment (Volume unit),Harvest sharing - Coffee volume amount of wet parchment (Volume unit),True
Harvest sharing - Price of wet parchment (Currency/Volume unit),Harvest sharing - Price of wet parchment (Currency/Volume unit),True
Harvest sharing - Coffee volume amount of dry parchment (Volume unit),Harvest sharing - Coffee volume amount of dry parchment (Volume unit),True
Harvest sharing - Price of dry parchment (Currency/Volume unit),Harvest sharing - Price of dry parchment (Currency/Volume unit),True
Harvest sharing - Coffee volume amount of husk coffee (Volume unit),Harvest sharing - Coffee volume amount of husk coffee (Volume unit),True
Harvest sharing - Price of husk coffee (Currency/Volume unit),Harvest sharing - Price of husk coffee (Currency/Volume unit),True
Harvest sharing - Notes (i.e. the reason why the coffee yield is very low or very high),Harvest sharing - Notes (i.e. the reason why the coffee yield is very low or very high),True
1st main cash crop - Volume amount,1st main cash crop - Volume amount,True
1st main cash crop - Price amount,1st main cash crop - Price amount,True
1st main cash crop - Total revenue,1st main cash crop - Total revenue,True
Volume amount unsold (Volume unit),Volume amount unsold (Volume unit),True
Volume amount unsold (Volume unit),Volume amount unsold (Volume unit).1,False
Volume amount unsold (Volume unit),Volume amount unsold (Volume unit).2,False
Volume amount unsold (Volume unit),Volume amount unsold (Volume unit).3,False
Volume amount unsold (Volume unit),Volume amount unsold (Volume unit).4,False
Price amount unsold (Currency/Volume unit),Price amount unsold (Currency/Volume unit),True
Price amount unsold (Currency/Volume unit),Price amount unsold (Currency/Volume unit).1,False
Price amount unsold (Currency/Volume unit),Price amount unsold (Currency/Volume unit).2,False
Price amount unsold (Currency/Volume unit),Price amount unsold (Currency/Volume unit).3,False
Price amount unsold (Currency/Volume unit),Price amount unsold (Currency/Volume unit).4,False
2nd main cash crop - Volume amount,2nd main cash crop - Volume amount,True
2nd main cash crop - Price amount,2nd main cash crop - Price amount,True
2nd main cash crop - Total revenue,2nd main cash crop - Total revenue,True
Other Crop 1,Other Crop 1,True
Other crop 1 main cash crop - Volume amount,Other crop 1 main cash crop - Volume amount,True
Other crop 1 main cash crop - Price amount,Other crop 1 main cash crop - Price amount,True
Other crop 1 main cash crop - Total revenue,Other crop 1 main cash crop - Total revenue,True
Other Crop 2,Other Crop 2,True
Other crop 2 main cash crop - Volume amount,Other crop 2 main cash crop - Volume amount,True
Other crop 2 main cash crop - Price amount,Other crop 2 main cash crop - Price amount,True
Other crop 2 main cash crop - Total revenue,Other crop 2 main cash crop - Total revenue,True
Other crops main cash crop - Volume amount,Other crops main cash crop - Volume amount,True
Other crops main cash crop - Price amount,Other crops main cash crop - Price amount,True
Other crops main cash crop - Total revenue,Other crops main cash crop - Total revenue,True
Livestock - Volume amount,Livestock - Volume amount,True
Livestock - Price amount,Livestock - Price amount,True
Livestock - Total revenue,Livestock - Total revenue,True
"Non-commercial
crop 1","Non-commercial
crop 1",True
"Non-commercial
crop 1","Non-commercial
crop 1.1",False
Non-commercial type 1,Non-commercial type 1,True
"Non-commercial
crop 1 - Volume amount","Non-commercial
crop 1 - Volume amount",True
"Non-commercial
crop 1 - Price amount,  if farmers difficult to answer, refer to the market price","Non-commercial
crop 1 - Price amount,  if farmers difficult to answer, refer to the market price",True
"Non-commercial
crop 1 - Total revenue","Non-commercial
crop 1 - Total revenue",True
"Non-commerciali
crop 2","Non-commerciali
crop 2",True
Non-commercial type 2,Non-commercial type 2,True
"Non-commercial
crop 2","Non-commercial
crop 2",True
"Non-commercial
crop 2 - Volume amount","Non-commercial
crop 2 - Volume amount",True
"Non-commercial
crop 2 - Price amount,  if farmers difficult to answer, refer to the market price","Non-commercial
crop 2 - Price amount,  if farmers difficult to answer, refer to the market price",True
"Non-commercial
crop 2 - Total revenue","Non-commercial
crop 2 - Total revenue",True
"Non-commercialized
crop 3","Non-commercialized
crop 3",True
Non-commercial type 3,Non-commercial type 3,True
"Non-commercial
crop 3","Non-commercial
crop 3",True
Non-commercial crop 3 - Volume amount,Non-commercial crop 3 - Volume amount,True
"Non-commercial crop 3 - Price amount,  if farmers difficult to answer, refer to the market price","Non-commercial crop 3 - Price amount,  if farmers difficult to answer, refer to the market price",True
"Non-commercial
crop 3 - Total revenue","Non-commercial
crop 3 - Total revenue",True
Off-farm income,Off-farm income,True
Source of off-farm income,Source of off-farm income,True
Off-farm income (in total),Off-farm income (in total),True
Recordkeeping,Recordkeeping,True
What elements of a basic farm management system has the farmer established,What elements of a basic farm management system has the farmer established,True
Farm land use (sketch),Farm land use (sketch),True
Farm map (official map),Farm map (official map),True
Farm management plan,Farm management plan,True
IPM plan,IPM plan,True
Fertilization plan,Fertilization plan,True
Other,Other,True
Other,Other.1,False
Other,Other.2,False
Other,Other.3,False
Other,Other.4,False
None,None,False
None,None.1,False
None,None.2,True
N/A or cant answer,N/A or cant answer,True
N/A or cant answer,N/A or cant answer.1,False
Select the types of financial documentation maintained on the farm (from the last 12 months),Select the types of financial documentation maintained on the farm (from the last 12 months),True
Volume harvested,Volume harvested,True
Volume sold,Volume sold,True
"Revenue (coffee sales, etc.)","Revenue (coffee sales, etc.)",True
"Expenses (labor, inputs)","Expenses (labor, inputs)",True
Complete record of profits or losses,Complete record of profits or losses,True
Describe the status of farm documents and records,Describe the status of farm documents and records,True
Have you experienced a cash flow shortage period during the last year?,Have you experienced a cash flow shortage period during the last year?,True
FAT Coffee V2 (M&E step 6),FAT Coffee V2 (M&E step 6),False
FAT Coffee V2 (M&E step 6),FAT Coffee V2 (M&E step 6).1,True
"What is the percentage of coffee crop land covered, during the whole year, with cover crops and/or application of crop residues, mulch, grass, clipping, straw and/or through agroforestry, coffee canopy, etc.? (acreage covered/total coffee acreage x 100)","What is the percentage of coffee crop land covered, during the whole year, with cover crops and/or application of crop residues, mulch, grass, clipping, straw and/or through agroforestry, coffee canopy, etc.? (acreage covered/total coffee acreage x 100)",True
"Do you implement any form of erosion control (e.g. terracing, contour planting, windbreaks, soil coverage, basin - on 100% of the field acreage)?","Do you implement any form of erosion control (e.g. terracing, contour planting, windbreaks, soil coverage, basin - on 100% of the field acreage)?",True
"What is the percentage of agricultural land with severe water and wind erosion (signs: siltation, sheet-rill-gully erosion, flying dust; as estimation)?","What is the percentage of agricultural land with severe water and wind erosion (signs: siltation, sheet-rill-gully erosion, flying dust; as estimation)?",True
"Do you perform regularly a soil analysis (lab, soil test kit)?","Do you perform regularly a soil analysis (lab, soil test kit)?",True
Upload evidence,Upload evidence,False
Upload evidence,Upload evidence.1,True
Upload evidence,Upload evidence.2,False
Upload evidence,Upload evidence.3,False
"On average, what is the interval of soil analysis (lab, soil test kit) for texture, pH, SOM, nitrogen (N), phosphorus (P), and potassium (K) (farm sample or a representative sample of a group of smallholdings in the same area)","On average, what is the interval of soil analysis (lab, soil test kit) for texture, pH, SOM, nitrogen (N), phosphorus (P), and potassium (K) (farm sample or a representative sample of a group of smallholdings in the same area)",True
"Do you calculate your annual fertilizer plan on the basis of crop nutrient requirements (e.g. recent soil analysis, productivity, crop cycle)?","Do you calculate your annual fertilizer plan on the basis of crop nutrient requirements (e.g. recent soil analysis, productivity, crop cycle)?",True
What is the soil organic matter (SOM) level in your soils (%)?,What is the soil organic matter (SOM) level in your soils (%)?,True
What is the Soil pH?,What is the Soil pH?,True
"What is the percentage of coffee crop land that receives, annually, organic fertilizer, and/or composted organic matter, and/or biochar?","What is the percentage of coffee crop land that receives, annually, organic fertilizer, and/or composted organic matter, and/or biochar?",True
Organic fertilizer applied kg per ha,Organic fertilizer applied kg per ha,True
Total fertilizer applied kg per ha,Total fertilizer applied kg per ha,True
Percentage organic fertiliser vs total fertiliser applied per ha (organic/ total applied x 100),Percentage organic fertiliser vs total fertiliser applied per ha (organic/ total applied x 100),True
What is the most frequently used fertilizer,What is the most frequently used fertilizer,True
N%,N%,True
P%,P%,True
K%,K%,True
How much you apply per year,How much you apply per year,True
How many ha in the coffee area,How many ha in the coffee area,True
Yield GC per ha,Yield GC per ha,True
N Productivity (NP) = Y/N (Yield kg GC per ha / N kg applied per ha),N Productivity (NP) = Y/N (Yield kg GC per ha / N kg applied per ha),True
"Are you applying 4C unacceptable and/or red listed agro-inputs (insecticides, fungicides, herbicides) in your farm?","Are you applying 4C unacceptable and/or red listed agro-inputs (insecticides, fungicides, herbicides) in your farm?",True
How often are you applying herbicides (per year),How often are you applying herbicides (per year),True
Which integrated weed management practices do you apply (on 100% of the field acreage)?,Which integrated weed management practices do you apply (on 100% of the field acreage)?,True
What is the % of the tree stock below 8 years of age (trees and/or productive stems or productive canopy e.g. Vietnam)?,What is the % of the tree stock below 8 years of age (trees and/or productive stems or productive canopy e.g. Vietnam)?,True
"What is the percentage of agricultural area being biodiversity habitats such as hedges, trees alley, wind breaks, flower strip, green belts, riparian area, border trees, natural habitats non farmed area (that could potentially be cultivated), etc? (agriculture area with biodiversity habitat / total crop land x 100)","What is the percentage of agricultural area being biodiversity habitats such as hedges, trees alley, wind breaks, flower strip, green belts, riparian area, border trees, natural habitats non farmed area (that could potentially be cultivated), etc? (agriculture area with biodiversity habitat / total crop land x 100)",True
Do you keep bee hives in your farm?,Do you keep bee hives in your farm?,True
"What is the percentage of agriculture land dedicated to agroforestry (coffee with commercial tree species, non-crop trees like native trees, shade trees, nitrofixing trees)?","What is the percentage of agriculture land dedicated to agroforestry (coffee with commercial tree species, non-crop trees like native trees, shade trees, nitrofixing trees)?",True
What is the total number of non-coffee trees within the coffee plot and/or field border (converted per ha),What is the total number of non-coffee trees within the coffee plot and/or field border (converted per ha),True
Number of different tree species (non-coffee) within the coffee plot and/or field border,Number of different tree species (non-coffee) within the coffee plot and/or field border,True
Do you irrigate your coffee?,Do you irrigate your coffee?,True
Do you know the water usage?,Do you know the water usage?,True
Do you conduct wet processing at the farm?,Do you conduct wet processing at the farm?,True
Do you consistent monitor and record total water usage for irrigation at the farm  - if applicable,Do you consistent monitor and record total water usage for irrigation at the farm  - if applicable,True
Do you consistent monitor and record total water usage for wet processing at the farm - if applicable,Do you consistent monitor and record total water usage for wet processing at the farm - if applicable,True
Water use in Irrigation (m3 water / ha / year),Water use in Irrigation (m3 water / ha / year),True
Water use in wet processing (m3 water / kg parchment coffee),Water use in wet processing (m3 water / kg parchment coffee),True
"Do you control irrigation based on soil moisture monitoring (sensors, upside bottle practise, .)?","Do you control irrigation based on soil moisture monitoring (sensors, upside bottle practise, .)?",True
Is the Waste water treatment adequate vs production volume,Is the Waste water treatment adequate vs production volume,True
Do you have water bodies at your farm?,Do you have water bodies at your farm?,True
"If you have water bodies at your farm, what is the minimum distance between field (fertilizer and pesticide application area) and the water body?","If you have water bodies at your farm, what is the minimum distance between field (fertilizer and pesticide application area) and the water body?",True
"Are the riparian buffer strips covered with natural vegetation (hedges, bushes, trees, etc)?","Are the riparian buffer strips covered with natural vegetation (hedges, bushes, trees, etc)?",True
"Do you keep financial management records (i.e. expenses, income P/L, etc.)?","Do you keep financial management records (i.e. expenses, income P/L, etc.)?",True
Are you member of an approved RS Unit,Are you member of an approved RS Unit,True
FAT result,FAT result,True
FAT score,FAT score,True
FAT %,FAT %,True
FAT Level,FAT Level,True
RegAgri & Carbon (M&E step 7),RegAgri & Carbon (M&E step 7),False
RegAgri & Carbon (M&E step 7),RegAgri & Carbon (M&E step 7).1,True
Number coffee trees arabica - if applicable (trees/ha),Number coffee trees arabica - if applicable (trees/ha),True
Number coffee trees robusta (trees/ha),Number coffee trees robusta (trees/ha),True
Coffee trees age 0-2 (%),Coffee trees age 0-2 (%),True
Coffee trees age 3-20 (%),Coffee trees age 3-20 (%),True
Coffee trees age >20 (%),Coffee trees age >20 (%),True
Number of different commercial species (crops) in the farm (beyond coffee),Number of different commercial species (crops) in the farm (beyond coffee),True
What are the main other crops interplanted with coffee,What are the main other crops interplanted with coffee,True
What are the main other crops interplanted with coffee,What are the main other crops interplanted with coffee.1,False
Avocado,Avocado,True
Banana / Plantain,Banana / Plantain,True
Betel nut,Betel nut,True
Durian,Durian,True
Mango,Mango,True
Papaya,Papaya,True
Pepper on concrete poles,Pepper on concrete poles,True
Pepper on trees,Pepper on trees,True
What portion of the coffee area has shade trees (all kind of trees covering coffee trees)? (%),What portion of the coffee area has shade trees (all kind of trees covering coffee trees)? (%),True
Number of different shade tree species (excl. commercial tree species),Number of different shade tree species (excl. commercial tree species),True
What portion of shade trees are N-fixing? (%),What portion of shade trees are N-fixing? (%),True
What portion of shade trees are native? (%),What portion of shade trees are native? (%),True
Where does the irrigation water come from?,Where does the irrigation water come from?,True
How many irrigation rounds/year?,How many irrigation rounds/year?,True
How much irrigation water per round? (m3/ha/round),How much irrigation water per round? (m3/ha/round),True
Qualitative (M&E step 8),Qualitative (M&E step 8),False
Qualitative (M&E step 8),Qualitative (M&E step 8).1,True
How satisfied are you about the Nescafe Plan this year?,How satisfied are you about the Nescafe Plan this year?,True
"If the respondent is dissatisfied, what is the reason/cause?","If the respondent is dissatisfied, what is the reason/cause?",True
How confident are you that your children / next generation will have a good livelihood from coffee farming?,How confident are you that your children / next generation will have a good livelihood from coffee farming?,True
Who is the sucessor to your farm?,Who is the sucessor to your farm?,True
Who is the sucessor to your farm?,Who is the sucessor to your farm?.1,False
One son,One son,True
One daughter,One daughter,True
Split up between children,Split up between children,True
Close relative,Close relative,True
No successor designated,No successor designated,True
What are some challenges that you have experienced about coffee production in the last 12 months?,What are some challenges that you have experienced about coffee production in the last 12 months?,True
What are some challenges that you have experienced about coffee production in the last 12 months?,What are some challenges that you have experienced about coffee production in the last 12 months? ,False
Weather/climate,Weather/climate,True
Lack of irrigation water,Lack of irrigation water,True
Low coffee prices,Low coffee prices,True
Other crops more profitable,Other crops more profitable,True
Expensive inputs,Expensive inputs,True
Lack of labor,Lack of labor,True
No family to take over my farm,No family to take over my farm,True
COVID - 19,COVID - 19,True
Other (please specify),Other (please specify),True
Other (please specify),Other (please specify).1,False
Other (please specify),Other (please specify).2,False
Other (please specify),Other (please specify).3,False
Other (please specify) text,Other (please specify) text,True
How do you tackle the challenges,How do you tackle the challenges,True
M&E Assessment completion (M&E Step 9),M&E Assessment completion (M&E Step 9),True
Status by enumerator,Status by enumerator,True
Comment by enumerator,Comment by enumerator,True
Status by validator,Status by validator,True
Change data by validator?,Change data by validator?,True
Assessment header (M&E step 1),Assessment header (M&E step 1),True
Farm and plot information (M&E step 2),Farm and plot information (M&E step 2),True
Comments by validator,Comments by validator,True
Validator name,Validator name,True
Projects (M&E step 8a),Projects (M&E step 8a),True
Are you part of the following project(s),Are you part of the following project(s),True
Solar dryer,Solar dryer,True
Solar dryer,Solar dryer.1,False
GRP (Tree planting),GRP (Tree planting),True
GRP (Tree planting),GRP (Tree planting).1,False
GIZ,GIZ,True
GIZ,GIZ.1,False
Did you receive a solar dryer from Co-Honducafé/Nescafé?,Did you receive a solar dryer from Co-Honducafé/Nescafé?,True
"If you have received a solar dryer, what is the current condition of the dryer?","If you have received a solar dryer, what is the current condition of the dryer?",True
Did you receive any trees?,Did you receive any trees?,True
How many trees?,How many trees?,True
From how many species?,From how many species?,True
How many trees have survived?,How many trees have survived?,True
How to handle and care for trees plantlet  that have been planted in the farm to ensure that they grow well?,How to handle and care for trees plantlet  that have been planted in the farm to ensure that they grow well?,True
What is the main factors that cause the tree planted to die?,What is the main factors that cause the tree planted to die?,True
Which training did you participate to in last 12 months?,Which training did you participate to in last 12 months?,True
Regenerative Agriculture,Regenerative Agriculture,True
Farmer Business School (FBS),Farmer Business School (FBS),True
I did not participate in any trainings conducted by Nestle or GIZ,I did not participate in any trainings conducted by Nestle or GIZ,True
please specify,please specify,True
Number of training sessions in last 12 months for participant in age 15 to 24 years,Number of training sessions in last 12 months for participant in age 15 to 24 years,True
Number of training sessions in last 12 months for participant in age 25 to 35 years old,Number of training sessions in last 12 months for participant in age 25 to 35 years old,True
Number of training sessions in last 12 months for participant in age 36 and over,Number of training sessions in last 12 months for participant in age 36 and over,True
Did the Nestle / GIZ trainings that you participated in over the last 12 months increase your knowledge / skills?,Did the Nestle / GIZ trainings that you participated in over the last 12 months increase your knowledge / skills?,True
Were you able to apply the knowledge and skills gained during the Nestle / GIZ trainings that you participated in over the last 12 months?,Were you able to apply the knowledge and skills gained during the Nestle / GIZ trainings that you participated in over the last 12 months?,True
Climate resilience assessment: Was the training relevant to skills addressing the impacts of climate change?,Climate resilience assessment: Was the training relevant to skills addressing the impacts of climate change?,True
Did you learn a lot about risks related to climate change ?,Did you learn a lot about risks related to climate change ?,True
Did you increase your skills regarding the specific adaptation to or mitigation of climate change risks,Did you increase your skills regarding the specific adaptation to or mitigation of climate change risks,True
Please explain: Which specific climate risks or consequences will you be able to better cope with if you apply the new skills?,Please explain: Which specific climate risks or consequences will you be able to better cope with if you apply the new skills?,True
Did you already apply the skills in order to better address climate risks ?,Did you already apply the skills in order to better address climate risks ?,True
Please explain: What did you change in order to better cope with the consequences of climate change or to be prepared for future consequences?,Please explain: What did you change in order to better cope with the consequences of climate change or to be prepared for future consequences?,True
"FTE assessment: Has anything improved in your working situation explicitly as a result of your participation in the GIZ training?  An improved  situation could be e.g. more work, better working conditions or more income. Please select all those applicable and highlight the priority one in case of several answers","FTE assessment: Has anything improved in your working situation explicitly as a result of your participation in the GIZ training?  An improved  situation could be e.g. more work, better working conditions or more income. Please select all those applicable and highlight the priority one in case of several answers",True
"More Work:  Additional hours by e.g, expansion of farming activities","More Work:  Additional hours by e.g, expansion of farming activities",True
Improved working conditions,Improved working conditions,True
More income from farming activities,More income from farming activities,True
Please select the 1st priority,Please select the 1st priority,True
Please select the 2nd priority,Please select the 2nd priority,True
How would you describe your work?,How would you describe your work?,True
"If you got additional working hours as a result of participating at the trainings: How many additional working hours did you have per day
on average?","If you got additional working hours as a result of participating at the trainings: How many additional working hours did you have per day
on average?",True
"If you got additional working hours as a result of participating in the trainings, please describe what influence the trainings had in this regard.","If you got additional working hours as a result of participating in the trainings, please describe what influence the trainings had in this regard.",True
"If working conditions have improved, please select which one (s)","If working conditions have improved, please select which one (s)",True
Operational safety & health conditions,Operational safety & health conditions,True
Work quality (e.g. use of technology or techniques that ease physical portion of work),Work quality (e.g. use of technology or techniques that ease physical portion of work),True
Equality for women,Equality for women,True
Farmers groups structure,Farmers groups structure,True
Others,Others,True
Others - Please provide details,Others - Please provide details,True
"If your working conditions have improved as a result of participating in the traingings, please describe what influence the trainings had in this regard.","If your working conditions have improved as a result of participating in the traingings, please describe what influence the trainings had in this regard.",True
"If your income has increased from the farming activities as a result of participating in the trainings, please describe what influence the trainings had in this regard.","If your income has increased from the farming activities as a result of participating in the trainings, please describe what influence the trainings had in this regard.",True
Did the training also have an impact on any of the following?,Did the training also have an impact on any of the following?,True
Productivity increase,Productivity increase,True
Income increase,Income increase,True
Income diversification,Income diversification,True
Crop diversification,Crop diversification,True
Recordkeeping improvement,Recordkeeping improvement,True
Farm management improvement,Farm management improvement,True
Working conditions improvement,Working conditions improvement,True
Other improvement,Other improvement,True
Other improvement - Please provide details,Other improvement - Please provide details,True
Comment,Comment,True
Children,Children,True
Number of boys in school age,Number of boys in school age,True
How many are fully going to school?,How many are fully going to school?,True
How many are fully going to school?,How many are fully going to school?.1,False
How many are partially going to school?,How many are partially going to school?,True
How many are partially going to school?,How many are partially going to school?.1,False
Number of girls in school age,Number of girls in school age,True
Number of boys at appropriate grade level,Number of boys at appropriate grade level,True
Number of girls at appropriate grade level,Number of girls at appropriate grade level,True
Who owns the coffee farm?,Who owns the coffee farm?,True
Who keeps the records and documents of the farm?,Who keeps the records and documents of the farm?,True
Who handles and receives payments from the sale of the coffee,Who handles and receives payments from the sale of the coffee,True
In whose name is the title deed (ownership of the farm),In whose name is the title deed (ownership of the farm),True
Who is an official member of the cooperative / producer organization,Who is an official member of the cooperative / producer organization,True
Who has a bank account or mobile money account?,Who has a bank account or mobile money account?,True
"Who usually takes the financial decisions in the household (household expenses, investment, saving, sales)?","Who usually takes the financial decisions in the household (household expenses, investment, saving, sales)?",True
Who usually keeps the cash money in the household?,Who usually keeps the cash money in the household?,True
How does you feel about women farmers?,How does you feel about women farmers?,True
Rejuvenation -  Renovation,Rejuvenation -  Renovation,True
Has your coffee farm been pruned in the last 12 months?,Has your coffee farm been pruned in the last 12 months?,True
Do you have area pruned in the last 3 years,Do you have area pruned in the last 3 years,True
What is the total area pruned in the last 3 years?,What is the total area pruned in the last 3 years?,True
What percentage of the coffee farm has been rejuvenated by full stumping in the last 12 months (%),What percentage of the coffee farm has been rejuvenated by full stumping in the last 12 months (%),True
What percentage of the coffee farm has been rejuvenated by partial stumping (with remaining branch ) in the past 12 months? (%),What percentage of the coffee farm has been rejuvenated by partial stumping (with remaining branch ) in the past 12 months? (%),True
Describe the quality of maintenance after rejuvenation/stumping rejuvenation/stumping,Describe the quality of maintenance after rejuvenation/stumping rejuvenation/stumping,True
Access to Water and Food,Access to Water and Food,True
Do you have access to safe and clean drinking water?,Do you have access to safe and clean drinking water? ,True
What is the main source of drinking water for your household?,What is the main source of drinking water for your household? ,True
Who usually goes to this source to fetch the water for your household?,Who usually goes to this source to fetch the water for your household? ,True
How far is it from your house to the place to fetch water and return? (estimation),How far is it from your house to the place to fetch water and return? (estimation) ,True
"Were there months, in the past 12 months, in which you did not have enough food to meet your familys needs? If so how many months.?","Were there months, in the past 12 months, in which you did not have enough food to meet your familys needs? If so how many months.? ",True
Have you received a Solvatten Tank?,Have you received a Solvatten Tank? ,True
Please share feedback,Please share feedback,True
VSLA - Saving and Loan,VSLA - Saving and Loan,True
Are you a member of VSLA group?,Are you a member of VSLA group?  ,True
What type savings do you have in your household?,What type savings do you have in your household? ,True
What challenges did you experience in accessing savings?,What challenges did you experience in accessing savings? ,True
Do you have access to loan?,Do you have access to loan? ,True
Source of the loan,Source of the loan ,True
If member of a VSLA  what is the expected weekly contribution? (Currency),If member of a VSLA  what is the expected weekly contribution? (Currency),True
Do you use the loans to invest in coffee farming?,Do you use the loans to invest in coffee farming? ,True
on what?,on what?,True
if not on what?,if not on what?,True
What challenges did you experience in accessing loan for coffee?,What challenges did you experience in accessing loan for coffee? ,True
Farmer Demographics,Farmer Demographics,True
Who is the head of the household,Who is the head of the household  ,True
Birth year of spouse:,Birth year of spouse: ,True
Highest education by spouse :,Highest education by spouse : ,True
Number of years in formal school (male  farmer),Number of years in formal school (male  farmer) ,True
Has the male farmer completed professional / vocational school,Has the male farmer completed professional / vocational school  ,True
Number of years in formal school (female  farmer),Number of years in formal school (female  farmer) ,True
Has the female farmer completed professional / vocational school,Has the female farmer completed professional / vocational school  ,True
Qualitative,Qualitative,True
How confident do you feel about your technical coffee knowledge?,How confident do you feel about your technical coffee knowledge?   ,True
How confident do you feel about your ability to keep farm records ?,How confident do you feel about your ability to keep farm records ? ,True
What are some challenges that you have experienced about the project trainings over the past 12 months?,What are some challenges that you have experienced about the project trainings over the past 12 months? ,True
Please specify,Please specify,True
Trees,Trees,True
Number of coffee trees,Number of coffee trees,True
Number of productive trees,Number of productive trees,True
Fertilizer,Fertilizer,True
