entity_id,year_of_reporting,year_joined_nescafe_plan,no_male_last_12_months,no_female_last_12_months,no_youth_18_29_last_12_months,technical_visits_last_12_months
1469278379855039037,2024,2011.0,2,1,0,3
1469278379855040664,2024,2015.0,1,0,0,1
1469278379855036915,2024,2012.0,3,0,0,3
1469278379855037067,2024,2017.0,0,2,0,3
1469278379855038019,2024,2015.0,2,2,0,2
1469278379855037842,2024,2012.0,3,2,0,2
1469278379855040862,2024,2016.0,1,0,0,3
1469278379855038442,2024,2011.0,3,0,0,0
1469278379855040212,2024,2012.0,3,0,0,3
1469278379855039053,2024,2014.0,0,2,0,2
1469278379855038729,2024,2016.0,0,0,0,1
1469278379855038358,2024,2015.0,3,0,3,3
1469278379855037425,2024,2011.0,1,1,0,2
1469278379855038409,2024,2014.0,0,2,2,2
1469278379855039084,2024,2011.0,3,0,0,3
1469278379855040001,2024,2012.0,2,0,0,1
1469278379855038668,2024,2011.0,2,1,0,4 or more
1469278379855009580,2024,2014.0,1,0,0,0
1469278379855040455,2024,2022.0,0,2,0,2
1469278379855040422,2024,2021.0,0,2,0,3
1469278379855039608,2024,2021.0,0,2,0,2
1469278379855038830,2024,2015.0,3,0,0,3
1469278379855039042,2024,2011.0,0,3,0,3
1469883818362505115,2024,2017.0,3,2,0,2
1469883818362505118,2024,2023.0,0,3,0,2
1469278379855038999,2024,2011.0,0,3,0,4 or more
1469278379855039728,2024,2011.0,1,2,0,3
1469278379855039878,2024,2011.0,3,0,0,2
1469278379855038499,2024,2011.0,3,0,0,2
1469278379855039832,2024,2011.0,3,0,0,3
1469278379855037698,2024,2017.0,3,2,0,2
1469278379855037177,2024,2017.0,3,3,0,4 or more
1469278379855037185,2024,2016.0,0,2,0,2
1469278379855040741,2024,2016.0,0,0,0,1
1469278379855037201,2024,2019.0,2,1,0,3
1469278379855039787,2024,2011.0,2,3,0,2
1469278379855040252,2024,2024.0,0,3,0,2
1469278379855040132,2024,2010.0,2,0,0,2
1469278379855039488,2024,2011.0,3,0,0,4 or more
1469278379855040307,2024,2013.0,1,3,0,2
1469278379855039486,2024,2011.0,2,1,0,3
1469278379855040352,2024,2022.0,2,3,0,2
1469278379855039407,2024,2011.0,3,0,0,1
1469278379855040432,2024,2018.0,3,0,0,2
1469278379855038122,2024,2011.0,1,1,0,2
1469278379855040242,2024,2012.0,1,3,0,1
1469278379855039629,2024,2023.0,3,4 or more,0,4 or more
1469883818362505224,2024,2023.0,2,2,4 or more,3
1469278379855040198,2024,2020.0,0,4 or more,0,1
1469278379855040099,2024,2011.0,0,1,0,1
1469278379855038070,2024,2019.0,2,0,0,2
1469278379855038552,2024,2012.0,0,2,0,1
1469278379855038690,2024,2017.0,2,0,0,2
1469278379855037403,2024,2012.0,0,2,0,2
1469278379855038672,2024,2014.0,2,1,0,1
1469278379855037409,2024,2021.0,1,0,0,3
1469278379855037416,2024,2013.0,2,2,0,2
1469278379855037520,2024,2014.0,3,0,0,0
1469278379855037251,2024,2012.0,3,0,0,4 or more
1469278379855040589,2024,2014.0,0,1,0,4 or more
1469278379855036998,2024,2012.0,0,2,2,4 or more
1469278379854782610,2024,2010.0,3,0,0,3
1469278379855039342,2024,2024.0,0,0,0,0
1469278379855037024,2024,2019.0,2,2,0,2
1469278379855039320,2024,2019.0,2,1,0,3
1469278379855036851,2024,2023.0,3,0,0,3
1469278379855036956,2024,2011.0,2,1,0,2
1469278379855012202,2024,2016.0,1,1,0,0
1469278379855037391,2024,2021.0,1,1,4 or more,
1469278379854640502,2024,2024.0,2,3,2,4 or more
1469278379854640527,2024,2010.0,3,4 or more,4 or more,2
1469278379855013741,2024,2024.0,,,,
1469278379854641314,2024,2015.0,2,0,0,2
1469278379855036603,2024,2012.0,3,0,0,4 or more
1469278379855037069,2024,2023.0,1,0,1,2
1469278379855037183,2024,2017.0,0,3,0,1
1469278379855037071,2024,2015.0,2,2,0,
1469278379855036960,2024,2014.0,2,0,0,2
1469278379855036789,2024,2014.0,0,3,0,2
1469278379855037002,2024,2024.0,0,4 or more,0,4 or more
1469278379855036719,2024,2012.0,3,0,0,4 or more
1469278379855036643,2024,2023.0,,,,
1469278379855009751,2024,2015.0,2,1,0,2
1469278379855040784,2024,2016.0,0,0,0,0
1469278379855038127,2024,2024.0,2,2,0,4 or more
