plot_id,entity_id,plot_number,year_started,production,total_coffee_area,active_coffee_area,rejuvenation_area
1469278379854638792_1,1469278379854638792,,2000.0,5000.0,1.2,0.0,0.0
1469278379854642831_1,1469278379854642831,,2007.0,6000.0,2.0,,
1469278379854639534_1,1469278379854639534,5.0,2000.0,12000.0,5.0,0.0,0.0
1469278379854639534_2,1469278379854639534,4.0,2000.0,12000.0,5.0,0.0,0.0
1469278379854638214_1,1469278379854638214,,1998.0,7200.0,1.8,0.0,0.0
1469278379854639354_1,1469278379854639354,3.0,2000.0,10000.0,4.0,0.0,0.0
1469278379854639354_2,1469278379854639354,2.0,2000.0,10000.0,4.0,0.0,0.0
1469278379854638432_1,1469278379854638432,,2005.0,8000.0,2.0,0.0,0.0
1469278379854639362_1,1469278379854639362,,2000.0,7000.0,1.1,0.0,0.0
1469278379854638434_1,1469278379854638434,,1998.0,16000.0,4.0,0.0,0.0
1469278379854639448_1,1469278379854639448,3.0,1998.0,3000.0,1.0,0.0,0.0
1469278379854639448_2,1469278379854639448,2.0,1998.0,3000.0,1.0,0.0,0.0
1469278379854639340_1,1469278379854639340,,2005.0,5000.0,1.7,0.0,0.0
1469278379854638373_1,1469278379854638373,,1999.0,4000.0,1.1,0.0,0.0
1469278379854639445_1,1469278379854639445,2.0,1996.0,4500.0,1.5,0.0,0.0
1469278379854639420_1,1469278379854639420,,2015.0,5000.0,1.5,0.0,0.0
1469278379854642243_1,1469278379854642243,3.0,2002.0,17000.0,5.0,0.0,0.0
1469278379854642243_2,1469278379854642243,2.0,2002.0,17000.0,5.0,0.0,0.0
1469278379854642131_1,1469278379854642131,,2000.0,10000.0,3.0,0.0,0.0
1469278379854639686_1,1469278379854639686,2.0,2015.0,28000.0,8.0,0.0,0.0
1469278379854639686_2,1469278379854639686,3.0,2015.0,28000.0,8.0,0.0,0.0
1469278379854642125_1,1469278379854642125,,2000.0,13000.0,3.0,0.0,0.0
1469278379854640951_1,1469278379854640951,,2000.0,20000.0,5.0,0.0,0.0
1469278379854642215_1,1469278379854642215,3.0,2006.0,20000.0,4.0,0.0,0.0
1469278379854642215_2,1469278379854642215,2.0,2006.0,20000.0,4.0,0.0,0.0
1469278379854640079_1,1469278379854640079,2.0,2000.0,5000.0,1.0,0.0,0.0
1469278379854642194_1,1469278379854642194,2.0,2000.0,7000.0,2.0,,
1469278379854640971_1,1469278379854640971,,2002.0,20000.0,5.0,0.0,0.0
1469278379854640065_1,1469278379854640065,3.0,2013.0,20000.0,3.7,0.0,0.0
1469278379854640065_2,1469278379854640065,2.0,2013.0,20000.0,3.7,0.0,0.0
1469278379854642173_1,1469278379854642173,3.0,2010.0,6000.0,2.0,,
