entity_id,question_label,response_text,theme_label,feedback_id
1469883818362504788,Year joined Nescafe Plan,2011.0,programs,108
1469278379854782873,Year joined Nescafe Plan,2014.0,programs,109
1469278379855013487,Year joined Nescafe Plan,2014.0,programs,110
1469278379854782303,Year joined Nescafe Plan,2010.0,programs,111
1469278379854782330,Year joined Nescafe Plan,2011.0,programs,112
1469278379855013538,Year joined Nescafe Plan,2020.0,programs,113
1469278379854677182,Year joined Nescafe Plan,2021.0,programs,114
1469278379854782765,Year joined Nescafe Plan,2013.0,programs,115
1469278379854677051,Year joined Nescafe Plan,2012.0,programs,116
1469278379855012279,Year joined Nescafe Plan,2013.0,programs,117
1469278379854782856,Year joined Nescafe Plan,2014.0,programs,118
1469278379855009590,Year joined Nescafe Plan,2014.0,programs,119
1469278379855009590,Year joined Nescafe Plan,2014.0,programs,120
1469278379855009590,Year joined Nescafe Plan,2014.0,programs,121
1469278379854677054,Year joined Nescafe Plan,2013.0,programs,122
1469278379855012573,Year joined Nescafe Plan,2013.0,programs,123
1469278379854783229,Year joined Nescafe Plan,2010.0,programs,124
1469278379854781962,Year joined Nescafe Plan,2011.0,programs,125
1469278379854677037,Year joined Nescafe Plan,2022.0,programs,126
1469278379855012570,Year joined Nescafe Plan,2013.0,programs,127
1469883818362504744,Year joined Nescafe Plan,2023.0,programs,128
1469278379855012184,Year joined Nescafe Plan,2017.0,programs,129
1469883818362504715,Year joined Nescafe Plan,2020.0,programs,130
1469278379854783135,Year joined Nescafe Plan,2019.0,programs,131
1469278379855012158,Year joined Nescafe Plan,2017.0,programs,132
1469278379854783115,Year joined Nescafe Plan,2020.0,programs,133
1469278379854782426,Year joined Nescafe Plan,2012.0,programs,134
1469278379855013057,Year joined Nescafe Plan,2020.0,programs,135
1469278379855013057,Year joined Nescafe Plan,2020.0,programs,136
1469278379854783104,Year joined Nescafe Plan,2010.0,programs,137
1469278379854782419,Year joined Nescafe Plan,2012.0,programs,138
1469278379855009927,Year joined Nescafe Plan,2017.0,programs,139
1469278379854677226,Year joined Nescafe Plan,2021.0,programs,140
1469278379855012818,Year joined Nescafe Plan,2016.0,programs,141
1469278379854677162,Year joined Nescafe Plan,2021.0,programs,142
1469278379854782733,Year joined Nescafe Plan,2011.0,programs,143
1469278379854677174,Year joined Nescafe Plan,2021.0,programs,144
1469278379854783053,Year joined Nescafe Plan,2012.0,programs,145
1469278379854782727,Year joined Nescafe Plan,2011.0,programs,146
1469278379855013676,Year joined Nescafe Plan,2013.0,programs,147
1469278379855013697,Year joined Nescafe Plan,2016.0,programs,148
1469278379854782243,Year joined Nescafe Plan,2019.0,programs,149
1469278379855012382,Year joined Nescafe Plan,2013.0,programs,150
1469278379854783211,Year joined Nescafe Plan,2019.0,programs,151
1469278379855012339,Year joined Nescafe Plan,2012.0,programs,152
1469278379854783216,Year joined Nescafe Plan,2021.0,programs,153
1469278379855012856,Year joined Nescafe Plan,2019.0,programs,154
1469278379855013932,Year joined Nescafe Plan,2019.0,programs,155
1469278379855013152,Year joined Nescafe Plan,2022.0,programs,156
1469278379855014007,Year joined Nescafe Plan,2020.0,programs,157
1469278379855014007,Year joined Nescafe Plan,2020.0,programs,158
1469278379855013593,Year joined Nescafe Plan,2014.0,programs,159
1469278379855013826,Year joined Nescafe Plan,2013.0,programs,160
1469278379855012881,Year joined Nescafe Plan,2019.0,programs,161
1469278379855013861,Year joined Nescafe Plan,2013.0,programs,162
1469278379855013563,Year joined Nescafe Plan,2013.0,programs,163
1469278379855012835,Year joined Nescafe Plan,2019.0,programs,164
1469278379855009880,Year joined Nescafe Plan,2014.0,programs,165
1469278379855009844,Year joined Nescafe Plan,2013.0,programs,166
1469278379855009842,Year joined Nescafe Plan,2020.0,programs,167
1469278379855009842,Year joined Nescafe Plan,2020.0,programs,168
1469278379854641911,Year joined Nescafe Plan,2021.0,programs,169
1469278379854641911,Year joined Nescafe Plan,2021.0,programs,170
1469278379855005159,Year joined Nescafe Plan,2014.0,programs,171
1469278379855008338,Year joined Nescafe Plan,2015.0,programs,172
1469278379854638788,Year joined Nescafe Plan,2018.0,programs,173
1469278379855008185,Year joined Nescafe Plan,2014.0,programs,174
1469278379855008185,Year joined Nescafe Plan,2014.0,programs,175
1469278379855009021,Year joined Nescafe Plan,2021.0,programs,176
1469278379855004887,Year joined Nescafe Plan,2018.0,programs,177
1469278379854638847,Year joined Nescafe Plan,2017.0,programs,178
1469278379855004785,Year joined Nescafe Plan,2016.0,programs,179
1469278379855004825,Year joined Nescafe Plan,2012.0,programs,180
1469278379855014199,Year joined Nescafe Plan,2015.0,programs,181
1469278379855014401,Year joined Nescafe Plan,2019.0,programs,182
1469278379854640837,Year joined Nescafe Plan,2014.0,programs,183
1469278379855014074,Year joined Nescafe Plan,2020.0,programs,184
1469278379854639556,Year joined Nescafe Plan,2020.0,programs,185
1469278379854640166,Year joined Nescafe Plan,2021.0,programs,186
1469883818362504681,Year joined Nescafe Plan,2019.0,programs,187
1469278379855014088,Year joined Nescafe Plan,2020.0,programs,188
1469278379855014073,Year joined Nescafe Plan,2014.0,programs,189
1469278379855014104,Year joined Nescafe Plan,2019.0,programs,190
1469278379855014345,Year joined Nescafe Plan,2019.0,programs,191
1469883818362504890,Year joined Nescafe Plan,2023.0,programs,192
1469278379855014289,Year joined Nescafe Plan,2019.0,programs,193
1469278379854641656,Year joined Nescafe Plan,2021.0,programs,194
1469278379854642031,Year joined Nescafe Plan,2022.0,programs,195
1469278379854642031,Year joined Nescafe Plan,2022.0,programs,196
1469278379855008648,Year joined Nescafe Plan,2019.0,programs,197
1469278379855008633,Year joined Nescafe Plan,2019.0,programs,198
1469278379854639991,Year joined Nescafe Plan,2021.0,programs,199
1469278379854639991,Year joined Nescafe Plan,2021.0,programs,200
1469883818362504409,Year joined Nescafe Plan,2023.0,programs,201
1469278379855014643,Year joined Nescafe Plan,2016.0,programs,202
1469278379855009318,Year joined Nescafe Plan,2012.0,programs,203
1469278379854638141,Year joined Nescafe Plan,2014.0,programs,204
1469278379855009319,Year joined Nescafe Plan,2014.0,programs,205
1469278379855009319,Year joined Nescafe Plan,2014.0,programs,206
1469278379855009319,Year joined Nescafe Plan,2014.0,programs,207
1469278379854640735,Year joined Nescafe Plan,2020.0,programs,208
1469278379855008002,Year joined Nescafe Plan,2012.0,programs,209
1469278379855009390,Year joined Nescafe Plan,2018.0,programs,210
1469278379854638365,Year joined Nescafe Plan,2010.0,programs,211
1469278379854641789,Year joined Nescafe Plan,2014.0,programs,212
1469278379854642507,Year joined Nescafe Plan,2012.0,programs,213
1469278379854641951,Year joined Nescafe Plan,2022.0,programs,214
1469278379854641951,Year joined Nescafe Plan,2022.0,programs,215
1469278379854641951,Year joined Nescafe Plan,2022.0,programs,216
1469278379855008000,Year joined Nescafe Plan,2012.0,programs,217
1469278379854642852,Year joined Nescafe Plan,2014.0,programs,218
1469278379854638345,Year joined Nescafe Plan,2019.0,programs,219
1469278379854638306,Year joined Nescafe Plan,2011.0,programs,220
1469278379855004840,Year joined Nescafe Plan,2010.0,programs,221
1469278379854642720,Year joined Nescafe Plan,2012.0,programs,222
1469278379855005225,Year joined Nescafe Plan,2012.0,programs,223
1469278379855005212,Year joined Nescafe Plan,2014.0,programs,224
