entity_id,fertilizer_used,n_pct,p_pct,k_pct,unacceptable_4c,weed_management
1469278379854639362,npk 20-5-5,20.0,5.0,5.0,No,mowing/cutting
1469278379854638434,npk 20-20-15,20.0,20.0,15.0,No,mowing/cutting
1469278379854639448,NpK 22.6.4,22.0,6.0,4.0,No,mowing/cutting
1469278379854639340,npk 20-5-5,20.0,5.0,5.0,No,mowing/cutting
1469278379854638373,npk 20-5-5,20.0,5.0,5.0,No,mowing/cutting
1469278379854639445,NPK 21-6-19,21.0,6.0,19.0,No,mowing/cutting
1469278379854639420,npk 30-10-10,30.0,10.0,10.0,No,combination of practices
1469278379854642243,SA,21.0,0.0,0.0,No,mowing/cutting
1469278379854642131,ure,46.0,0.0,0.0,No,mowing/cutting
1469278379854639686,ure 46,46.0,0.0,0.0,No,mowing/cutting
1469278379854642125,ure,46.0,0.0,0.0,No,mowing/cutting
1469278379854640951,NPK 20-10-20,20.0,10.0,20.0,No,mowing/cutting
1469278379854642215,SA,21.0,0.0,0.0,No,mowing/cutting
1469278379854640079,npk 20-5-5,20.0,5.0,5.0,No,combination of practices
1469278379854642194,SA,21.0,0.0,0.0,No,mowing/cutting
1469278379854640971,NPK 20-10-10,20.0,10.0,10.0,No,mowing/cutting
1469278379854640065,npk 23 -15-5,23.0,15.0,5.0,No,combination of practices
1469278379854642173,SA,21.0,24.0,0.0,No,mowing/cutting
1469278379854641215,npk 20-20-15,20.0,15.0,15.0,No,mowing/cutting
1469278379854640961,NPK ??u Trâu 20-20-15,20.0,20.0,15.0,No,mowing/cutting
1469278379854640900,NPK 22-20-20,22.0,20.0,20.0,No,mowing/cutting
1469278379854642890,npk 17-7-17,17.0,7.0,17.0,No,mowing/cutting
1469278379854640339,NPK 20-5-5,20.0,5.0,5.0,No,mowing/cutting
1469278379854643031,npk 20-5-5,20.0,5.0,5.0,No,mowing/cutting
1469278379854641605,ure 46,46.0,0.0,0.0,No,mowing/cutting
1469278379854640257,npk 16-16-10,16.0,16.0,10.0,No,mowing/cutting
1469278379854643043,NpK 20-5-5,20.0,5.0,5.0,No,mowing/cutting
1469278379854641569,npk 20-15-21,20.0,15.0,21.0,No,cover crops
1469278379854642073,SA,21.0,0.0,0.0,No,mowing/cutting
1469278379854642301,npk 20-10-15,20.0,10.0,15.0,No,mowing/cutting
1469278379854640613,npk 20-20-15,20.0,20.0,15.0,No,mowing/cutting
1469278379854642479,NPK 20-5-5,20.0,5.0,5.0,No,mowing/cutting
1469278379854640625,NPK 17-17-20,17.0,17.0,20.0,No,mowing/cutting
1469883818362505174,npk 16-16-8,16.0,16.0,8.0,No,mowing/cutting
1469278379855039037,ure,46.0,0.0,0.0,No,combination of practices
1469278379855040664,ure 46,46.0,0.0,0.0,No,combination of practices
1469278379855036915,npk 20-5-5,20.0,5.0,5.0,No,combination of practices
1469278379855037067,ure46,46.0,0.0,0.0,No,combination of practices
1469278379855038019,npk17-7-17,17.0,7.0,17.0,No,combination of practices
1469278379855037842,NPK 22-5-5,22.0,5.0,5.0,No,combination of practices
1469278379855040862,npk 20-5-5,20.0,5.0,5.0,No,hand hoe
1469278379855038442,npk 20-5-5,20.0,5.0,5.0,No,combination of practices
1469278379855004727,,,,,,
1469278379855040212,npk 16-16-8,16.0,16.0,8.0,No,combination of practices
1469278379855039053,npk 20-5-5,20.0,5.0,5.0,No,mowing/cutting
1469278379855038729,sa,21.0,0.0,0.0,No,combination of practices
1469278379855038358,Npk 20-5-6+13s+te,20.0,5.0,6.0,No,mowing/cutting
1469278379855037425,SA,21.0,0.0,0.0,No,mowing/cutting
1469278379855038409,Npk 16-16-8,16.0,16.0,8.0,No,mowing/cutting
1469278379855039084,npk 16-16-8,16.0,16.0,8.0,No,mowing/cutting
1469278379855040001,ure,46.0,0.0,0.0,No,mowing/cutting
1469278379855038668,npk 17-15-9 Te,17.0,16.0,9.0,No,mowing/cutting
1469278379855009580,,,,,,
1469278379855040455,npk 20-5-5,20.0,5.0,5.0,No,combination of practices
1469278379855040422,npk 20 -5-5,20.0,5.0,5.0,No,combination of practices
1469278379855039608,ure,46.0,0.0,0.0,No,mowing/cutting
1469278379855038830,npk 17- 7- 17,17.0,7.0,17.0,No,combination of practices
1469278379855039042,NPK 20-5-5,20.0,5.0,5.0,No,mowing/cutting
1469883818362505115,npk 20 -5-6,20.0,5.0,6.0,No,combination of practices
1469883818362505118,Ure 46,46.0,0.0,0.0,No,combination of practices
1469278379855038999,SA,21.0,0.0,0.0,No,mowing/cutting
1469278379855039728,SA 21,21.0,0.0,0.0,No,combination of practices
1469278379855039878,ure 46,46.0,0.0,0.0,No,combination of practices
1469278379855038499,ure 46,46.0,0.0,0.0,No,combination of practices
1469278379855039832,npk 20-5-5,20.0,5.0,5.0,No,mowing/cutting
1469278379855037698,NPK 16-16-8,16.0,16.0,8.0,No,combination of practices
1469278379855037177,npk 17-7-17,17.0,7.0,17.0,No,combination of practices
1469278379855037185,NPK 20-5-6,20.0,5.0,6.0,No,combination of practices
1469278379855040741,NPK 20-10-5,20.0,0.0,0.0,No,combination of practices
1469278379855037201,npk 16-16-8,16.0,16.0,8.0,No,combination of practices
1469278379855039787,16 -16-8,16.0,16.0,8.0,No,combination of practices
1469278379855040252,ure 46,46.0,0.0,0.0,No,combination of practices
1469278379855040132,ure 46,46.0,0.0,0.0,No,combination of practices
1469278379855039488,ure,46.0,0.0,0.0,No,hand hoe
1469278379855040307,npk 20-5-5,20.0,5.0,6.0,No,mowing/cutting
