plot_id,entity_id,plot_number,species,variety,year_started,polygon_area,total_coffee_area,coffee_area_active,coffee_area_rejuvenation,coffee_area_intercropping,intercropping_crops
825,7955439997586687435,3.0,,Robusta TR4,1989.0,,2.14,0.0,0.0,0.0,
826,7955439997586687435,2.0,,Robusta TR4,2011.0,,1.3,0.0,0.0,0.0,
827,7955439997586687435,1.0,,Robusta TR4,2018.0,,1.28,0.0,0.0,0.0,Durian
828,1470002575945816025,1.0,,Robusta,1995.0,,1.7,1.7,0.0,0.0,
829,7955439997586687533,1.0,,Robusta TR4,2010.0,,0.67,0.0,0.0,0.0,Black Pepper
830,7955439997586687533,2.0,,Robusta TR4,2022.0,,0.3,0.0,0.0,0.0,
831,7955439997586687533,3.0,,Robusta TR4,2010.0,,1.4,0.0,0.0,0.0,
832,7955439997586682488,1.0,,ROBUSTA Thi?n Tr??ng,2019.0,,0.8,0.0,0.0,0.0,Avocado
833,7955439997586682311,3.0,,,2014.0,,1.8,0.0,0.0,0.0,"Avocado,Durian,Macadamia,Other"
834,7955439997586682311,1.0,,ROBUSTA Thi?n Tr??ng,2010.0,,0.6,0.0,0.0,0.0,"Avocado,Durian,Macadamia"
835,7955439997586682311,2.0,,ROBUSTA Thi?n Tr??ng,2014.0,,0.6,0.0,0.0,0.0,Avocado
836,7955439997586683548,1.0,,ROBUSTA Thi?n Tr??ng,2000.0,,1.7,0.0,0.0,0.0,
837,7955439997586683548,2.0,,ROBUSTA Thi?n Tr??ng,2004.0,,0.5,0.0,0.0,0.0,
838,7955439997586687130,1.0,,,,,1.0,0.0,0.0,0.0,
839,7955439997586687030,1.0,,Robusta TR4,2010.0,,1.2,0.0,0.0,0.0,
840,1470002575945815954,1.0,,Robusta,1996.0,,2.6,2.6,0.0,0.0,"Cashew,Cocoa (Theobroma cacao)"
841,1470002575936436462,1.0,True,LEMPIRA,2006.0,,7.0,7.0,0.0,0.0,Shade trees
842,1470157558628971323,,False,,,,,,,,
843,1470002575936436362,1.0,True,LEMPIRA,2006.0,,5.03,5.0,0.0,0.0,Shade trees
844,1470002575936435364,,True,,,,,,,,
845,1470002575945831393,1.0,,Robusta,2004.0,,2.0,2.0,0.0,0.0,
846,1470002575936435811,1.0,True,LEMPIRA,2012.0,,7.03,7.0,0.0,0.0,Shade trees
