entity_id,yield_gc_per_ha,production_(kg),low_coffee_prices,total_fertilizer_applied_kg_per_ha,organic_fertilizer_applied_kg_per_ha
1469278379854640166,2600.0,5.2,,2687.0,437.0
1469883818362504681,5600.0,,,15000.0,12000.0
1469278379855014088,3158.0,6.0,,6500.0,4000.0
1469278379855014073,4000.0,16.0,,7500.0,5500.0
1469278379855014104,4211.0,8.0,,10745.0,9166.0
1469278379855014345,4000.0,2.0,,18000.0,16000.0
1469883818362504890,3869.0,5.03,,7617.0,5385.0
1469278379855014289,3700.0,3.7,,11600.0,9600.0
1469278379854641656,2750.0,5.5,,8125.0,7500.0
1469278379854642031,4391.89189,2.5,,4100.0,1050.0
1469278379855008648,4000.0,4.0,,8250.0,5600.0
1469278379855008633,3500.0,3.5,,6150.0,4000.0
1469278379854639991,4047.61905,4.0,,6155.0,3800.0
1469883818362504409,3000.0,3.0,,11050.0,9000.0
1469278379855014643,6000.0,3.0,,3300.0,0.0
1469278379855009318,4952.38095,8.0,,24750.0,22000.0
1469278379854638141,3200.0,3.2,,14750.0,12000.0
1469278379855009319,4736.84211,4.0,,12300.0,10000.0
1469278379854640735,4000.0,12.0,,13400.0,11000.0
1469278379855008002,3000.0,3.0,,2400.0,400.0
1469278379855009390,5000.0,3.0,,3708.3,1500.0
1469278379854638365,5500.0,7.0,,4167.0,2667.0
1469278379854641789,4800.0,12.0,,7200.0,6000.0
1469278379854642507,4666.66667,4.0,,20400.0,20000.0
1469278379854641951,2230.76923,1.0,True,14549.0,11217.0
1469278379855008000,3000.0,4.0,,1500.0,
1469278379854642852,5000.0,1.5,,13918.0,11250.0
1469278379854638345,5455.0,6.0,,12726.0,8182.0
1469278379854638306,3200.0,3.2,,3750.0,1000.0
1469278379855004840,2867.0,8.6,,2133.0,
1469278379854642720,4000.0,12.0,,2633.0,1333.0
1469278379855005225,4000.0,8.0,,16500.0,15000.0
1469278379855005212,4000.0,4.0,,11125.0,8000.0
1469278379855005212,4000.0,12.0,,11125.0,8000.0
1469278379854638332,5000.0,12.5,,2200.0,500.0
1469278379854642963,4667.0,3.5,,18467.0,15000.0
1469278379854638287,4000.0,8.0,,2650.0,750.0
1469278379855005276,4000.0,8.0,True,22100.0,20000.0
1469278379855005249,4458.33333,7.0,,3021.0,833.3
1469278379854642946,4000.0,,,26539.0,23077.0
1469278379855008686,3333.0,2.5,,4440.0,2666.0
1469278379855008072,3896.55172,4.8,,2103.44828,551.72414
1469278379855005043,2778.0,3.0,,4134.0,2222.0
1469278379854641146,4000.0,4.0,,1700.0,
1469278379855005002,4000.0,12.0,,4700.0,2500.0
1469278379855005032,4000.0,8.0,,3800.0,1500.0
1469278379855005028,3750.0,6.0,,3125.0,
1469278379854640452,2734.375,3.5,True,18170.0,17000.0
1469278379854638593,4000.0,3.6,,2331.0,0.0
1469278379855008702,2708.0,3.5,,2500.0,667.0
1469278379854639859,6731.0,3.5,,11068.0,10000.0
1469278379854638512,5333.33333,8.0,,2664.0,
1469278379854641222,2000.0,0.7,True,2100.0,
1469278379854639942,5735.0,10.0,,7559.0,1383.0
1469278379854638490,4285.71429,9.0,,1940.0,750.0
1469278379854638519,2000.0,3.0,,1666.0,700.0
1469278379854638792,3182.0,3.5,,1226.0,
1469278379854642831,4166.66667,2.5,True,1667.0,
1469278379854639534,2372.88136,3.0,,3749.0,2700.0
1469278379854638214,4444.0,8.0,,17164.0,14665.0
1469278379854639354,3813.95349,6.0,,5608.0,4400.0
1469278379854638432,4000.0,8.0,,6250.0,4500.0
1469278379854639362,4000.0,6.0,,2600.0,
1469278379854638434,3250.0,13.0,,4400.0,2300.0
1469278379854639448,4300.0,2.5,,3550.0,2500.0
1469278379854639340,4117.64706,7.0,True,2205.0,
1469278379854638373,4000.0,4.0,,5050.0,3600.0
1469278379854639445,5066.66667,5.4,,1399.0,0.0
1469278379854639420,3000.0,4.2,,1819.0,357.0
1469278379854642243,3253.33333,7.0,,5113.0,2272.2
1469278379854642131,4375.0,10.5,,3541.0,1250.0
1469278379854639686,3375.0,8.0,,7938.0,6875.0
1469278379854642125,5217.3913,12.0,,3559.0,1304.0
1469278379854640951,4000.0,20.0,,11452.0,10000.0
1469278379854642215,3511.70569,4.0,,3935.3,2167.0
1469278379854640079,4583.0,3.0,,14916.0,12416.0
1469278379854642194,3684.21053,3.0,,1200.0,
1469278379854640971,4000.0,20.0,,10500.0,8000.0
1469278379854640065,3649.0,1.5,,9780.0,7700.0
1469278379854642173,3500.0,4.0,,1900.0,
1469278379854641215,3104.83871,3.0,True,6045.0,4838.0
1469278379854640961,3333.33333,5.0,,18384.0,16500.0
1469278379854640900,5294.0,9.0,,8146.0,5294.0
1469278379854642890,4592.0,4.5,,18060.0,15000.0
1469278379854640339,1406.0,4.5,,1813.0,1250.0
1469278379854643031,2611.0,4.7,,2491.0,833.0
1469278379854641605,4354.83871,4.5,,12543.0,10645.0
1469278379854640257,3000.0,3.0,,6400.0,4800.0
1469278379854643043,2333.0,3.5,,1734.0,800.0
1469278379854641569,3750.0,11.0,,3948.0,2000.0
1469278379854642073,3718.0,10.0,,5330.0,2750.0
1469278379854642301,4666.66667,35.0,,11093.0,9600.0
1469278379854640613,4000.0,4.0,,4550.0,3500.0
1469278379854642479,2524.0,10.0,,6438.0,5524.0
1469278379854640625,3000.0,3.0,,9250.0,7500.0
1469883818362505174,3333.0,4.0,,4766.0,2166.0
1469278379855039037,4000.0,4.0,,4300.0,1500.0
1469278379855040664,1556.0,1.4,,18220.0,16666.0
1469278379855036915,4000.0,2.0,,4000.0,2000.0
1469278379855037067,4000.0,4.0,,2750.0,
1469278379855038019,4000.0,4.0,,1500.0,
1469278379855037842,1875.0,3.0,,2437.0,
1469278379855040862,2308.0,1.5,,24614.0,21538.0
1469278379855038442,871.0,0.55,,1997.0,1142.0
1469278379855004727,,,,,
1469278379855040212,3750.0,3.0,,4531.0,2656.0
1469278379855039053,1866.66667,2.8,,4000.0,2000.0
1469278379855038729,2400.0,1.2,,3500.0,0.0
1469278379855038358,4062.5,6.5,,4500.0,3500.0
1469278379855037425,2048.0,1.2,,2429.0,
1469278379855038409,4000.0,2.0,True,3000.0,2000.0
1469278379855039084,500.0,1.0,,13000.0,10000.0
1469278379855040001,3061.0,2.4,,4500.0,1667.0
1469278379855038668,2181.81818,0.7,,3999.0,1818.0
1469278379855009580,,,,,
1469278379855040455,3125.0,1.8,,9950.0,9450.0
1469278379855040422,3000.0,1.5,,11300.0,8000.0
1469278379855039608,3333.0,1.0,,5250.0,3417.0
1469278379855038830,1000.0,1.0,True,4000.0,3000.0
1469278379855039042,3523.0,5.25,,6200.0,4666.0
1469883818362505115,1200.0,1.2,True,3700.0,3000.0
1469883818362505118,1200.0,1.2,True,960.0,0.0
1469278379855038999,3333.33333,5.0,,2533.0,533.0
1469278379855039728,3000.0,3.0,True,12050.0,11000.0
1469278379855039878,2500.0,2.5,,7500.0,6000.0
1469278379855038499,200.0,0.2,True,2700.0,2000.0
1469278379855039832,3125.0,2.5,True,12000.0,10000.0
1469278379855037698,1324.0,2.5,,1438.0,694.0
1469278379855037177,3571.42857,2.5,True,5142.0,3142.0
1469278379855037185,2750.0,5.5,True,9000.0,7000.0
1469278379855040741,3200.0,1.6,,6000.0,4000.0
1469278379855037201,2500.0,1.0,,28500.0,26250.0
1469278379855039787,3125.0,2.5,True,6313.0,4000.0
1469278379855040252,2500.0,2.0,True,3424.0,2500.0
1469278379855040132,2500.0,5.0,,4200.0,3000.0
1469278379855039488,2526.31579,0.75,,9289.0,7500.0
1469278379855040307,2605.0,3.68,True,5700.0,2500.0
1469278379855039486,3750.0,1.5,,4800.0,3750.0
1469278379855040352,1666.66667,1.0,,17219.0,15260.86957
1469278379855039407,2750.0,0.73,True,3750.0,1000.0
1469278379855040432,3252.59516,2.2,,3133.0,1533.0
1469278379855038122,5000.0,5.0,,4350.0,2100.0
1469278379855040242,2300.0,2.3,,2000.0,
1469278379855039629,3000.0,1.2,,5750.0,3750.0
1469883818362505224,3043.47826,3.0,,7250.0,5600.0
1469278379855040198,3809.52381,2.4,,4444.0,3174.0
1469278379855040099,2174.0,5.0,,6956.0,6000.0
1469278379855038070,2354.0,2.5,,5313.0,4035.0
1469278379855038552,2152.08034,1.5,,6434.0,5357.0
1469278379855038690,2368.0,2.0,,9250.0,7500.0
1469278379855037403,3636.36364,5.0,,3758.0,2273.0
1469278379855038672,3571.42857,2.5,,6710.0,5500.0
1469278379855037409,842.10526,0.8,True,46050.0,42105.0
1469278379855037416,5000.0,5.0,,4500.0,1500.0
1469278379855037520,2833.33333,1.7,True,21932.0,20000.0
1469278379855037251,3750.0,3.0,True,12776.0,8750.0
1469278379855040589,3500.0,3.5,,13100.0,11000.0
1469278379855036998,3000.0,1.5,,4900.0,2800.0
1469278379854782610,2000.0,4.0,,2833.0,0.0
1469278379855039342,926.0,0.5,True,4258.0,3703.0
1469278379855037024,3000.0,3.0,,3650.0,2000.0
1469278379855039320,,0.23,,,
1469278379855036851,4375.0,3.5,True,6500.0,3750.0
1469278379855036956,3000.0,3.0,True,4150.0,2000.0
1469278379855012202,,,,,
1469278379855037391,100.0,8500.0,,100.0,100.0
1469278379854640502,4.0,20000.0,,1000.0,200.0
1469278379854640527,6.0,4.0,,225.0,50.0
1469278379855013741,,,,,
1469278379855039900,,,,,
1469278379855040542,,,,,
1469278379855004500,,,,,
1469278379855004491,,,,,
1469278379854641314,3000.0,6.0,,3200.0,1400.0
1469278379855036603,2500.0,1.3,,14000.0,12400.0
1469278379855037069,5000.0,5000.0,,5000.0,1000.0
1469278379855037183,3500.0,3500.0,,17260.0,14000.0
1469278379855037071,7.0,3000.0,,10000.0,10000.0
1469278379855036960,16.0,2.0,,7550.0,5550.0
1469278379855036960,16.0,2500.0,,7550.0,5550.0
1469278379855036789,4000.0,3500.0,,4000.0,2000.0
1469278379855037002,3000.0,3500.0,True,5500.0,3000.0
1469278379855036719,3500.0,,,5800.0,4000.0
1469278379855036643,5000.0,,True,2400.0,100.0
1469278379855009751,2833.33333,1.7,,3000.0,
1469278379855004455,,0.0,,,
1469278379855004533,,,,,
1469278379855040784,1.45,4.0,,3318.0,1818.0
1469278379855004487,,,,,
1469278379855038127,3000.0,,,200.0,300.0
1469278379855004451,,,,,
1469278379854782766,,,,,
