entity_id,year_joined_nescafe_plan,training_sessions_male,training_sessions_female,training_sessions_youth,technical_visits,plantlets_received,plantlets_survived,condition_plantlets,renovation,expansion
1469278379854641463,2021.0,0,2,0,1,,,,True,
1469278379854640901,2021.0,3,0,0,3,0.0,100.0,"Good: Plants are healthy, and phys. development is in line with their age.",True,
7955439997587189712,2023.0,,,,1,70.0,15.0,Average (some plants are poorly developed but others are healthy),True,
1469883818362504507,2024.0,0,2,0,4 or more,,,,True,
7955439997587189936,2021.0,,,,1,,,,True,
7955662907702140009,,,,,,,,,,
1470002575936435612,2022.0,0,2,1,4 or more,,,,,True
7955662907702140000,2021.0,2,1,0,0,,,,True,
7955439997587187586,2024.0,,,,0,,,,True,
7955439997587861513,2021.0,2,1,0,2,,,,,
1469592163271957427,2023.0,3,3,0,2,1000.0,90.0,"Good: Plants are healthy, and phys. development is in line with their age.",True,
7955662907699200862,2024.0,1,0,3,4 or more,,,,,
1470002575956820610,2025.0,3,0,0,2,800.0,90.0,"Good: Plants are healthy, and phys. development is in line with their age.",True,
7955439997587861298,2012.0,3,0,0,2,,,,True,
1469592163271961683,2014.0,2,0,0,0,,,,,
1470002575956820727,2022.0,0,0,0,3,250.0,100.0,Cant answer,True,
1469592163271961684,2014.0,1,0,0,0,4000.0,80.0,"Good: Plants are healthy, and phys. development is in line with their age.",True,
7955439997582550081,2024.0,0,3,0,2,,,,True,
1470002575956820200,2021.0,1,0,0,1,2000.0,95.0,"Good: Plants are healthy, and phys. development is in line with their age.",True,
7955439997587187540,2022.0,,,,1,300.0,50.0,Average (some plants are poorly developed but others are healthy),True,
7955662907699200876,2022.0,3,0,2,4 or more,,,,True,False
1469569898290009880,2021.0,1,2,0,4 or more,,,,,
7955439997587861424,2019.0,2,0,0,1,500.0,95.0,"Good: Plants are healthy, and phys. development is in line with their age.",True,
1469278379854642324,2016.0,2,1,0,3,,,,True,
7955439997587187356,2023.0,,,,3,,,,True,
1469278379854641057,2022.0,2,1,0,2,,,,,
7955439997587187544,2023.0,,,,1,,,,True,
1470002575956820627,2016.0,4 or more,4 or more,0,4 or more,3000.0,80.0,"Good: Plants are healthy, and phys. development is in line with their age.",True,True
1469278379854640984,2021.0,3,0,0,0,,,,,
1469592163271951560,2014.0,3,3,0,1,1500.0,70.0,"Good: Plants are healthy, and phys. development is in line with their age.",True,
7955439997587188056,2022.0,,,,0,,,,True,
1470002575956820202,2022.0,0,0,0,0,750.0,100.0,Cant answer,,
1470002575943383722,2018.0,0,0,0,1,,,,True,
1469278379854642347,2017.0,3,0,0,1,,,,True,
7955439997587187549,2022.0,,,,3,,,,True,
1469278379854642365,2012.0,0,3,0,2,,,,True,
1470002575956821012,2023.0,1,0,0,1,,,,True,
1470002575956820600,2019.0,3,1,0,0,,,,,
1469278379854641969,2022.0,2,1,0,3,,,,True,
1469278379854642733,2015.0,3,0,0,2,,,,True,True
7955439997587187267,2018.0,,,,0,,,,,
7955439997587188186,2022.0,,,,1,,,,,
1469278379854639479,2023.0,1,0,0,2,,,,,
1469278379854642319,2017.0,2,1,0,1,,,,True,
1469278379854639435,2021.0,2,1,0,1,,,,True,
1470002575945819824,2023.0,1,,,,,,,,
7955439997587188145,2018.0,,,,0,,,,True,
1469278379854642851,2013.0,3,0,0,1,,,,True,
7955439997587187472,2023.0,,,,3,,,,True,
1469278379854641597,2022.0,2,0,0,1,,,,True,
1470002575936436326,2023.0,2,0,0,4 or more,,,,True,
1469569898290010106,,,,,,,,,,
7955439997586893418,2021.0,2,2,0,3,,,,True,True
7955439997586893364,2025.0,2,2,0,4 or more,1.0,1.0,Average (some plants are poorly developed but others are healthy),True,True
1469569898290010214,2021.0,1,0,0,4 or more,,,,True,True
1469592163271951570,2021.0,3,0,0,1,1500.0,100.0,"Good: Plants are healthy, and phys. development is in line with their age.",,True
7955439997587187760,2024.0,,,,0,,,,True,
7955439997587861340,2021.0,1,0,0,1,,,,,
7955439997587861442,2023.0,0,0,3,2,,,,,
7955662907699201217,2023.0,0,0,0,3,,,,,
1469592163271960794,2017.0,0,3,0,0,1000.0,60.0,"Good: Plants are healthy, and phys. development is in line with their age.",True,
1469592163271963032,2022.0,2,0,0,0,,,,,
1470002575956820617,2023.0,3,0,0,3,500.0,95.0,"Good: Plants are healthy, and phys. development is in line with their age.",True,
7955439997587187832,2021.0,,,,2,,,,,
7955439997587187280,2023.0,,,,0,,,,True,
7955439997587187247,2021.0,,,,1,,,,True,
7955439997587188514,2024.0,,,,0,,,,,
1470002575936435583,2024.0,2,0,0,4 or more,,,,,
7955439997587861354,2022.0,0,2,0,0,500.0,90.0,"Good: Plants are healthy, and phys. development is in line with their age.",True,
7955439997587187827,2019.0,,,,2,,,,,
7955439997587186973,2021.0,,,,1,,,,True,
7955439997587861406,2023.0,0,0,0,1,,,,True,
1469883818362504473,2023.0,0,3,0,3,,,,True,
1470002575936436257,2023.0,0,3,2,4 or more,,,,,
1469592163271957438,2014.0,0,0,0,0,500.0,100.0,"Good: Plants are healthy, and phys. development is in line with their age.",,True
7955439997587189228,2022.0,,,,2,,,,True,
7955439997587861203,2017.0,0,0,0,0,0.0,80.0,"Good: Plants are healthy, and phys. development is in line with their age.",True,
7955439997587188907,2023.0,,,,1,,,,True,
1469278379854641878,2022.0,2,1,0,2,0.0,98.0,"Good: Plants are healthy, and phys. development is in line with their age.",True,
1470002575956820249,2023.0,0,1,0,1,,,,True,
7955439997587861493,2012.0,0,0,0,1,,,,,
1469278379854641900,2022.0,0,3,0,1,1000.0,70.0,Average (some plants are poorly developed but others are healthy),True,
7955439997587187139,2023.0,,,,0,,,,True,
7955439997587187613,2023.0,,,,0,,,,True,
1470002575956820979,2011.0,0,0,0,0,1500.0,50.0,"Good: Plants are healthy, and phys. development is in line with their age.",True,
1469278379854643034,2016.0,3,0,0,1,,,,True,
1470002575936435355,2024.0,0,0,0,0,,,,,
1469278379854642185,2013.0,0,3,0,4 or more,,,,True,
1469278379854639161,,,,,,,,,,
7955439997587188702,2023.0,,,,2,,,,True,
7955439997587187880,2022.0,,,,1,,,,True,
1470002575956820251,2021.0,3,3,0,1,800.0,94.0,"Good: Plants are healthy, and phys. development is in line with their age.",True,
7955439997587188844,2024.0,,,,2,,,,True,
1469883818362504483,2023.0,3,0,0,1,,,,True,
7955439997587187136,2023.0,,,,1,,,,True,
7955439997587189148,2024.0,,,,1,,,,,
1469278379854643307,,,,,,,,,,
1469278379854643024,2016.0,0,3,0,2,,,,True,
1469278379854641788,2022.0,0,3,0,3,,,,,
7955439997587187559,2023.0,,,,1,,,,,
7955439997587188709,2023.0,,,,0,,,,True,
7955439997587187178,2022.0,,,,2,,,,True,
7955439997587187424,2023.0,,,,2,,,,,
